"","siteID.x","plotID","date","subplotID.x","nestedSubplotID.x","tagID","stemDiameter","measurementHeight.x","basalDiameter","basalDiameterHeight","growthForm.x","stemStatus","VD1height","VD2height","maxCanopyDiameter","ninetyCanopyDiameter","canopyPosition","shrubShape","maxBaseCanopyDiameter","ninetyBaseCanopyDiameter","measuredBy.x","recordedBy.x","remarks.x","nestedSubplotArea1","nestedSubplotArea2","Field1","X","siteID.y","subplotID.y","nestedSubplotID.y","supportingStemTagID","pointID","stemAzimuth","stemDistance","taxonID","identificationQualifier","growthForm.y","measuredBy.y","recordedBy.y","remarks.y","measurementHeight.y","scientificName"
"1","SERC","SERC_047","20150929",21,NA,"9664",68.5,130,NA,NA,"sbt",1,28.1,-2.4,NA,NA,3,"",NA,NA,"arollosson@field-ops.org","dsoteropoulos@neoninc.org","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","SERC","SERC_047","20150929",21,NA,"9665",30.5,130,NA,NA,"sbt",1,19.8,-3.1,NA,NA,4,"",NA,NA,"arollosson@field-ops.org","dsoteropoulos@neoninc.org","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","SERC","SERC_047","20150929",21,NA,"9666",87.5,130,NA,NA,"sbt",1,30.9,-1.8,NA,NA,3,"",NA,NA,"arollosson@field-ops.org","dsoteropoulos@neoninc.org","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","SERC","SERC_047","20150929",21,NA,"9667",31.4,130,NA,NA,"sbt",1,21.4,-1.6,NA,NA,3,"",NA,NA,"arollosson@field-ops.org","dsoteropoulos@neoninc.org","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","SERC","SERC_047","20150929",21,NA,"9668",16.4,130,NA,NA,"sbt",7,9.1,-1.6,NA,NA,5,"",NA,NA,"arollosson@field-ops.org","dsoteropoulos@neoninc.org","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","SERC","SERC_047","20150929",21,NA,"9669",30.6,130,NA,NA,"sbt",1,16.4,-1.7,NA,NA,4,"",NA,NA,"arollosson@field-ops.org","dsoteropoulos@neoninc.org","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","SERC","SERC_047","20150929",21,NA,"9670",23.4,130,NA,NA,"sbt",1,15.3,-1.6,NA,NA,4,"",NA,NA,"arollosson@field-ops.org","dsoteropoulos@neoninc.org","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","SERC","SERC_047","20150929",21,NA,"9671",22.5,130,NA,NA,"sbt",1,15.7,-2,NA,NA,4,"",NA,NA,"arollosson@field-ops.org","dsoteropoulos@neoninc.org","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","SERC","SERC_047","20150929",23,NA,"9662",46.9,130,NA,NA,"sbt",2,2.1,0,NA,NA,5,"",NA,NA,"arollosson@field-ops.org","dsoteropoulos@neoninc.org","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","SERC","SERC_047","20150929",23,NA,"9663",10.7,130,NA,NA,"sbt",2,3.8,0,NA,NA,5,"",NA,NA,"arollosson@field-ops.org","dsoteropoulos@neoninc.org","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","SERC","SERC_047","20150929",21,1,"9601",1.1,10,NA,NA,"sap",1,1,0,NA,NA,NA,"",NA,NA,"llemmon@field-ops.org","esheffield@field-ops.org","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","SERC","SERC_047","20150929",21,1,"9602",1.6,10,NA,NA,"sap",1,0.7,0,NA,NA,NA,"",NA,NA,"llemmon@field-ops.org","esheffield@field-ops.org","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","SERC","SERC_047","20150929",21,1,"9603",NA,NA,NA,NA,"sap",NA,NA,NA,NA,NA,NA,"",NA,NA,"llemmon@field-ops.org","esheffield@field-ops.org","Does not qualify tag left for subsequent years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
