"country","stateProvince","county","domainName","domainID","siteName","siteID","plotType","subtype","subtypeSpecification","plotID","plotSize","plotDimensions","referencePointPosition","decimalLatitude","decimalLongitude","geodeticDatum","utmZone","easting","northing","coordinateUncertainty","elevation","elevationUncertainty","minimumElevation","maximumElevation","slopeGradient","slopeAspect","nlcdClass","soilTypeOrder","inclusionProbability","coordinateSource","recordedDate","filteredPositions","plotPdop","plotHdop","applicableModules"
"unitedStates","CO","Weld ","Central Plains","10","Central Plains Experimental Range","CPER","distributed","tickPlot","","CPER_001","1600","40m x 40m","41","40.85101199","-104.7013025","WGS84","13N","525177.413","4522261.121","0.1","1639.127","0.1","1638.91","1639.48","0.476747215","68.66880035","grasslandHerbaceous","Aridisols","","GeoXH 6000","6/24/2013","145","1.7","0.8","tck"
"unitedStates","CO","Weld ","Central Plains","10","Central Plains Experimental Range","CPER","distributed","basePlot","","CPER_001","1600","40m x 40m","41","40.85086566","-104.6995346","WGS84","13N","525326.49","4522245.387","0.1","1637.886","0.1","1637.45","1638.27","0","0","grasslandHerbaceous","Aridisols","","GeoXH 6000","4/30/2013","121","3.5","1.4","bet|bgc|cdw|dhp|div|hbp|sme|vst"
"unitedStates","CO","Weld ","Central Plains","10","Central Plains Experimental Range","CPER","distributed","tickPlot","","CPER_002","1600","40m x 40m","41","40.8114456","-104.7276262","WGS84","13N","522972.224","4517861.766","0.1","1645.789","0.1","1643.65","1648.02","4.721586704","41.34996033","grasslandHerbaceous","Aridisols","","GeoXH 6000","6/24/2013","122","1.6","0.9","tck"
"unitedStates","CO","Weld ","Central Plains","10","Central Plains Experimental Range","CPER","distributed","basePlot","","CPER_002","1600","40m x 40m","41","40.81093415","-104.7292479","WGS84","13N","522835.623","4517804.567","0.1","1651.112","0.1","1649.6","1652.23","0","0","grasslandHerbaceous","Aridisols","","GeoXH 6000","4/26/2013","121","2","1","bet|bgc|cdw|dhp|div|hbp|sme|vst"
"unitedStates","CO","Weld ","Central Plains","10","Central Plains Experimental Range","CPER","distributed","mammalGrid","diversity","CPER_002","8100","90m x 90m","E5","40.81045921","-104.7308665","WGS84","13N","522699.266","4517751.426","0.1","1649.728","0.1","1647.9","1651.33","1.109120369","136.4924316","grasslandHerbaceous","Aridisols","","GeoXH 6000","4/26/2013","121","2.1","1.1","mam|rpt"
"unitedStates","CO","Weld ","Central Plains","10","Central Plains Experimental Range","CPER","distributed","tickPlot","","CPER_003","1600","40m x 40m","41","40.81980769","-104.707147","WGS84","13N","524696.355","4518795.577","0.1","1625.646","0.1","1624.52","1625.65","0.280310899","120.6389008","grasslandHerbaceous","Alfisols","","GeoXH 6000","6/27/2013","121","1.9","1","tck"
"unitedStates","CO","Weld ","Central Plains","10","Central Plains Experimental Range","CPER","distributed","basePlot","","CPER_003","1600","40m x 40m","41","40.81845086","-104.7071638","WGS84","13N","524695.442","4518644.956","0.1","1623.792","0.1","1623.05","1624.77","0","0","grasslandHerbaceous","Alfisols","","GeoXH 6000","4/30/2013","123","2.5","1.2","bet|bgc|cdw|dhp|div|hbp|sme|vst"
"unitedStates","CO","Weld ","Central Plains","10","Central Plains Experimental Range","CPER","distributed","tickPlot","","CPER_004","1600","40m x 40m","41","40.8141043","-104.6968171","WGS84","13N","525569.667","4518165.427","0.1","1617.216","0.1","1617.13","1617.49","0.781910896","81.37283325","grasslandHerbaceous","Alfisols","","GeoXH 6000","6/27/2013","121","2.4","1.2","tck"
"unitedStates","CO","Weld ","Central Plains","10","Central Plains Experimental Range","CPER","distributed","basePlot","","CPER_004","1600","40m x 40m","41","40.81274962","-104.6968728","WGS84","13N","525565.491","4518015.033","0.1","1622.731","0.1","1620.95","1623.23","3","200.3","grasslandHerbaceous","Aridisols","","GeoXH 6000","4/26/2013","132","1.6","0.9","bet|bgc|cdw|dhp|div|hbp|sme|vst"
"unitedStates","CO","Weld ","Central Plains","10","Central Plains Experimental Range","CPER","distributed","birdGrid","ninePoints","CPER_004","250000","500m x 500m","B2","40.81463507","-104.6992404","WGS84","13N","525365.093","4518223.642","0.1","1620.038","0.1","1613.76","1622.02","0.404495418","83.94972992","grasslandHerbaceous","Alfisols","","GeoXH 6000","5/13/2013","128","2.1","1.2","brd"
"unitedStates","CO","Weld ","Central Plains","10","Central Plains Experimental Range","CPER","distributed","mammalGrid","diversity","CPER_004","8100","90m x 90m","E5","40.81309075","-104.6985364","WGS84","13N","525425.055","4518052.417","0.1","1622.063","0.1","1619.55","1622.48","1.337049127","335.566803","grasslandHerbaceous","Alfisols","","GeoXH 6000","4/26/2013","120","1.9","1.3","mam|rpt"
"unitedStates","CO","Weld ","Central Plains","10","Central Plains Experimental Range","CPER","distributed","tickPlot","","CPER_005","1600","40m x 40m","41","40.85257093","-104.7263313","WGS84","13N","523067.176","4522427.281","0.1","1662.603","0.1","1662.27","1663.55","1.11540401","86.2388916","grasslandHerbaceous","Mollisols","","GeoXH 6000","6/24/2013","133","2","1.1","tck"
"unitedStates","CO","Weld ","Central Plains","10","Central Plains Experimental Range","CPER","distributed","basePlot","","CPER_005","1600","40m x 40m","41","40.85309321","-104.7280063","WGS84","13N","522925.817","4522484.818","0.1","1664.432","0.1","1663.01","1664.64","0","0","grasslandHerbaceous","Mollisols","","GeoXH 6000","4/25/2013","127","1.6","0.9","bet|bgc|cdw|dhp|div|hbp|sme|vst"
"unitedStates","CO","Weld ","Central Plains","10","Central Plains Experimental Range","CPER","distributed","birdGrid","ninePoints","CPER_005","250000","500m x 500m","B2","40.85266154","-104.7280092","WGS84","13N","522925.722","4522436.899","0.1","1662.857","0.1","1652.5","1667.41","3.522865057","214.5156403","grasslandHerbaceous","Mollisols","","GeoXH 6000","4/25/2013","125","1.9","1.3","brd"
"unitedStates","CO","Weld ","Central Plains","10","Central Plains Experimental Range","CPER","distributed","mammalGrid","diversity","CPER_005","8100","90m x 90m","E5","40.85410904","-104.7269161","WGS84","13N","523017.355","4522597.868","0.1","1664.734","0.1","1663.71","1666.48","0.806859553","129.0075378","grasslandHerbaceous","Mollisols","","GeoXH 6000","4/25/2013","231","1.6","1","mam|rpt"
"unitedStates","CO","Weld ","Central Plains","10","Central Plains Experimental Range","CPER","distributed","basePlot","","CPER_006","1600","40m x 40m","41","40.81476856","-104.7480781","WGS84","13N","521246.235","4518225.476","0.1","1649.946","0.1","1649.84","1650.05","0","0","grasslandHerbaceous","Mollisols","","GeoXH 6000","4/24/2013","121","1.6","0.9","bet|bgc|cdw|dhp|div|hbp|sme|vst"
"unitedStates","CO","Weld ","Central Plains","10","Central Plains Experimental Range","CPER","distributed","mammalGrid","diversity","CPER_006","8100","90m x 90m","E5","40.81358132","-104.7487513","WGS84","13N","521189.837","4518093.522","0.1","1650.221","0.1","1650.18","1650.64","0.225842014","200.7922821","grasslandHerbaceous","Mollisols","","GeoXH 6000","4/24/2013","121","2","1.2","mam|rpt"
"unitedStates","CO","Weld ","Central Plains","10","Central Plains Experimental Range","CPER","distributed","tickPlot","","CPER_007","1600","40m x 40m","41","40.86087755","-104.6849522","WGS84","13N","526551.657","4523361.095","0.1","1646.675","0.1","1645.99","1646.9","0.722744346","220.0410156","grasslandHerbaceous","Alfisols","","GeoXH 6000","6/24/2013","129","2","1.1","tck"
"unitedStates","CO","Weld ","Central Plains","10","Central Plains Experimental Range","CPER","distributed","basePlot","","CPER_007","1600","40m x 40m","41","40.86191485","-104.6838323","WGS84","13N","526645.625","4523476.583","0.1","1646.676","0.1","1646.61","1646.98","0","0","grasslandHerbaceous","Alfisols","","GeoXH 6000","5/6/2013","124","1.7","1","bet|bgc|cdw|dhp|div|hbp|sme|vst"
"unitedStates","CO","Weld ","Central Plains","10","Central Plains Experimental Range","CPER","distributed","mosquitoPoint","","CPER_078","0","0m","41","40.83443076","-104.6908109","WGS84","13N","526068.254","4520423.562","0.1","1624.772","0.1","1624.77","1624.77","2.000555277","155.6177673","grasslandHerbaceous","Aridisols","","GeoXH 6000","3/24/2014","144","1.7","0.9","mpt|mos"
"unitedStates","CO","Weld ","Central Plains","10","Central Plains Experimental Range","CPER","distributed","basePlot","","CPER_008","1600","40m x 40m","41","40.79882189","-104.7492117","WGS84","13N","521155.693","4516455.027","0.1","1644.758","0.1","1643.83","1646.22","0","0","grasslandHerbaceous","Aridisols","","GeoXH 6000","4/25/2013","132","1.6","1","bet|bgc|cdw|dhp|div|hbp|sme|vst"
"unitedStates","CO","Weld ","Central Plains","10","Central Plains Experimental Range","CPER","distributed","mammalGrid","diversity","CPER_008","8100","90m x 90m","E5","40.7987814","-104.747491","WGS84","13N","521300.857","4516450.949","0.1","1643.952","0.1","1643.95","1648.31","0.828674674","17.36832809","grasslandHerbaceous","Aridisols","","GeoXH 6000","4/25/2013","134","1.8","1","mam|rpt"
"unitedStates","CO","Weld ","Central Plains","10","Central Plains Experimental Range","CPER","distributed","basePlot","","CPER_009","1600","40m x 40m","41","40.82612028","-104.7459029","WGS84","13N","521426.027","4519486.116","0.1","1656.613","0.1","1654.76","1657.47","0","0","grasslandHerbaceous","Aridisols","","GeoXH 6000","4/24/2013","121","2","1","bet|bgc|cdw|dhp|div|hbp|sme|vst"
"unitedStates","CO","Weld ","Central Plains","10","Central Plains Experimental Range","CPER","distributed","birdGrid","ninePoints","CPER_009","250000","500m x 500m","B2","40.82415897","-104.7471029","WGS84","13N","521325.472","4519268.106","0.1","1645.481","0.1","1642.38","1656.82","0.456541389","193.9848022","grasslandHerbaceous","Mollisols","","GeoXH 6000","4/24/2013","121","2.2","1.1","brd"
"unitedStates","CO","Weld ","Central Plains","10","Central Plains Experimental Range","CPER","distributed","mammalGrid","diversity","CPER_009","8100","90m x 90m","E5","40.82538986","-104.7473377","WGS84","13N","521305.274","4519404.685","0.1","1647.514","0.1","1646.4","1651.57","2.194074631","213.6360626","grasslandHerbaceous","Aridisols","","GeoXH 6000","4/24/2013","128","2.2","1.2","mam|rpt"
"unitedStates","CO","Weld ","Central Plains","10","Central Plains Experimental Range","CPER","distributed","basePlot","","CPER_010","1600","40m x 40m","41","40.85000956","-104.6813983","WGS84","13N","526855.557","4522155.756","0.1","1646.236","0.1","1641.37","1648.06","10.8","245.6","grasslandHerbaceous","Alfisols","","GeoXH 6000","5/6/2013","121","1.9","1.1","bet|bgc|cdw|dhp|div|hbp|sme|vst"
"unitedStates","CO","Weld ","Central Plains","10","Central Plains Experimental Range","CPER","distributed","basePlot","","CPER_011","1600","40m x 40m","41","40.86628604","-104.703366","WGS84","13N","524997.735","4523956.056","0.1","1649.664","0.1","1647.65","1649.92","0","0","grasslandHerbaceous","Mollisols","","GeoXH 6000","4/24/2013","139","1.9","1.1","bet|bgc|cdw|dhp|div|hbp|sme|vst"
"unitedStates","CO","Weld ","Central Plains","10","Central Plains Experimental Range","CPER","distributed","birdGrid","ninePoints","CPER_011","250000","500m x 500m","B2","40.86638464","-104.7048336","WGS84","13N","524874.022","4523966.583","0.1","1648.469","0.1","1643.79","1657.79","1.165623665","126.2173386","grasslandHerbaceous","Mollisols","","GeoXH 6000","4/24/2013","125","1.7","1","brd"
