plotID,pointID,plotType,subtype,decimalLatitude,decimalLongitude,geodeticDatum,utmZone,easting,northing,coordinateUncertainty,coordinateSource,elevation,elevationUncertainty,nlcdClass,monumentType,applicableModules
BART_001,21,distributed,basePlot,44.0469,-71.3069,WGS84,19N,315188.336,4879671.002,0.16,GeoXH 6000,484.55,0.2,mixedForest,,hbp
BART_001,25,distributed,basePlot,44.0469,-71.3064,WGS84,19N,315228.523,4879669.919,0.23,GeoXH 6000,470.43,0.48,mixedForest,,hbp
BART_001,31,distributed,basePlot,44.04704154,-71.30674301,WGS84,19N,315203.378,4879684.689,2.2,GeoXH 6000,475.51,0.31,mixedForest,,div
BART_001,31,distributed,basePlot,44.047,-71.3068,WGS84,19N,315198.378,4879679.689,0.2,GeoXH 6000,475.51,0.31,mixedForest,,hbp
BART_001,32,distributed,basePlot,44.04703701,-71.30659914,WGS84,19N,315214.89,4879683.863,2.17,GeoXH 6000,474.3,0.25,mixedForest,,div
BART_001,33,distributed,basePlot,44.047,-71.3065,WGS84,19N,315219.89,4879678.863,0.17,GeoXH 6000,474.3,0.25,mixedForest,,hbp
BART_001,40,distributed,basePlot,44.04713824,-71.30673597,WGS84,19N,315204.243,4879695.414,2.24,GeoXH 6000,470.12,0.31,mixedForest,,div
BART_001,41,distributed,basePlot,44.04712328,-71.30659746,WGS84,19N,315215.293,4879693.441,2.21,GeoXH 6000,468.81,0.32,mixedForest,,div
BART_001,41,distributed,basePlot,44.0471,-71.3067,WGS84,19N,315210.293,4879688.441,0.21,GeoXH 6000,468.81,0.32,mixedForest,,hbp
BART_001,49,distributed,basePlot,44.0472,-71.3068,WGS84,19N,315199.243,4879700.414,0.24,GeoXH 6000,470.12,0.31,mixedForest,,hbp
BART_001,51,distributed,basePlot,44.0472,-71.3066,WGS84,19N,315218.523,4879699.603,0.26,GeoXH 6000,473.15,0.46,mixedForest,,hbp
BART_001,57,distributed,basePlot,44.0473,-71.3069,WGS84,19N,315189.788,4879710.398,0.24,GeoXH 6000,472.01,0.53,mixedForest,,hbp
BART_001,61,distributed,basePlot,44.0473,-71.3064,WGS84,19N,315230.91,4879707.681,0.21,GeoXH 6000,468.6,0.42,mixedForest,,hbp
BART_001,31.1.1,distributed,basePlot,44.04699992,-71.30679756,WGS84,19N,315198.878,4879680.189,0.45,GeoXH 6000,475.51,0.31,mixedForest,,div
BART_001,31.1.10,distributed,basePlot,44.04700992,-71.30678446,WGS84,19N,315199.9591,4879681.27,1.2,GeoXH 6000,475.51,0.31,mixedForest,,div
BART_001,31.4.1,distributed,basePlot,44.04707241,-71.30666413,WGS84,19N,315209.793,4879687.941,0.46,GeoXH 6000,468.81,0.32,mixedForest,,div
BART_001,31.4.10,distributed,basePlot,44.04706241,-71.30667724,WGS84,19N,315208.7119,4879686.86,1.21,GeoXH 6000,468.81,0.32,mixedForest,,div
BART_001,32.2.1,distributed,basePlot,44.04699766,-71.30654144,WGS84,19N,315219.39,4879679.363,0.42,GeoXH 6000,474.3,0.25,mixedForest,,div
BART_001,32.2.10,distributed,basePlot,44.04700711,-71.3065553,WGS84,19N,315218.3089,4879680.444,1.17,GeoXH 6000,474.3,0.25,mixedForest,,div
BART_001,32.4.1,distributed,basePlot,44.04707863,-71.30654458,WGS84,19N,315219.39,4879688.363,0.42,GeoXH 6000,474.3,0.25,mixedForest,,div
BART_001,32.4.10,distributed,basePlot,44.04706863,-71.30655769,WGS84,19N,315218.3089,4879687.282,1.17,GeoXH 6000,474.3,0.25,mixedForest,,div
BART_001,40.1.1,distributed,basePlot,44.04709663,-71.30679052,WGS84,19N,315199.743,4879690.914,0.49,GeoXH 6000,470.12,0.31,mixedForest,,div
BART_001,40.1.10,distributed,basePlot,44.04710662,-71.30677741,WGS84,19N,315200.8241,4879691.995,1.24,GeoXH 6000,470.12,0.31,mixedForest,,div
BART_001,40.3.1,distributed,basePlot,44.04717759,-71.30679367,WGS84,19N,315199.743,4879699.914,0.49,GeoXH 6000,470.12,0.31,mixedForest,,div
BART_001,40.3.10,distributed,basePlot,44.04716814,-71.3067798,WGS84,19N,315200.8241,4879698.833,1.24,GeoXH 6000,470.12,0.31,mixedForest,,div
BART_001,41.1.1,distributed,basePlot,44.04708166,-71.30665201,WGS84,19N,315210.793,4879688.941,0.46,GeoXH 6000,468.81,0.32,mixedForest,,div
BART_001,41.1.10,distributed,basePlot,44.04709166,-71.3066389,WGS84,19N,315211.8741,4879690.022,1.21,GeoXH 6000,468.81,0.32,mixedForest,,div
BART_001,41.4.1,distributed,basePlot,44.0471749,-71.30656538,WGS84,19N,315218.023,4879699.103,0.51,GeoXH 6000,473.15,0.46,mixedForest,,div
BART_001,41.4.10,distributed,basePlot,44.0471649,-71.30657849,WGS84,19N,315216.9419,4879698.022,1.26,GeoXH 6000,473.15,0.46,mixedForest,,div
BART_001,A1,Distributed,mammalGrid,44.04722601,-71.30562864,WGS84,19N,315293.2268,4879702.678,,GIS,529.9064281,,mixedForest,,mam
BART_001,A10,Distributed,mammalGrid,44.04641635,-71.30559722,WGS84,19N,315293.2268,4879612.678,,GIS,531.6177455,,mixedForest,,mam
BART_001,A2,Distributed,mammalGrid,44.04713605,-71.30562515,WGS84,19N,315293.2268,4879692.678,,GIS,530.0431887,,mixedForest,,mam
BART_001,A3,Distributed,mammalGrid,44.04704608,-71.30562166,WGS84,19N,315293.2268,4879682.678,,GIS,530.1932957,,mixedForest,,mam
BART_001,A4,Distributed,mammalGrid,44.04695612,-71.30561817,WGS84,19N,315293.2268,4879672.678,,GIS,530.3567492,,mixedForest,,mam
BART_001,A5,Distributed,mammalGrid,44.04686616,-71.30561468,WGS84,19N,315293.2268,4879662.678,,GIS,530.5335492,,mixedForest,,mam
BART_001,A6,Distributed,mammalGrid,44.0467762,-71.30561119,WGS84,19N,315293.2268,4879652.678,,GIS,530.7236956,,mixedForest,,mam
BART_001,A7,Distributed,mammalGrid,44.04668624,-71.30560769,WGS84,19N,315293.2268,4879642.678,,GIS,530.9271885,,mixedForest,,mam
BART_001,A8,Distributed,mammalGrid,44.04659628,-71.3056042,WGS84,19N,315293.2268,4879632.678,,GIS,531.1440278,,mixedForest,,mam
BART_001,A9,Distributed,mammalGrid,44.04650632,-71.30560071,WGS84,19N,315293.2268,4879622.678,,GIS,531.3742135,,mixedForest,,mam
