"","domainID","siteID","plotID","plotType","subtype","plotSize"
"1","D02","SCBI","SCBI_001","distributed","birdGrid",250000
"2","D02","SCBI","SCBI_002","distributed","basePlot",1600
"3","D02","SCBI","SCBI_002","distributed","mammalGrid",8100
"4","D02","SCBI","SCBI_002","distributed","tickPlot",1600
"5","D02","SCBI","SCBI_003","distributed","basePlot",1600
"6","D02","SCBI","SCBI_003","distributed","mammalGrid",8100
"7","D02","SCBI","SCBI_004","distributed","mammalGrid",8100
"8","D02","SCBI","SCBI_005","distributed","tickPlot",1600
"9","D02","SCBI","SCBI_006","distributed","basePlot",1600
"10","D02","SCBI","SCBI_006","distributed","birdGrid",250000
"11","D02","SCBI","SCBI_006","distributed","tickPlot",1600
"12","D02","SCBI","SCBI_007","distributed","basePlot",1600
"13","D02","SCBI","SCBI_007","distributed","tickPlot",1600
"14","D02","SCBI","SCBI_008","distributed","basePlot",1600
"15","D02","SCBI","SCBI_008","distributed","mammalGrid",8100
"16","D02","SCBI","SCBI_009","distributed","mosquitoPoint",0
"17","D02","SCBI","SCBI_010","distributed","basePlot",1600
"18","D02","SCBI","SCBI_011","distributed","basePlot",1600
"19","D02","SCBI","SCBI_012","distributed","basePlot",1600
"20","D02","SCBI","SCBI_013","distributed","basePlot",1600
"21","D02","SCBI","SCBI_013","distributed","tickPlot",1600
"22","D02","SCBI","SCBI_014","distributed","basePlot",1600
"23","D02","SCBI","SCBI_015","distributed","basePlot",1600
"24","D02","SCBI","SCBI_015","distributed","birdGrid",250000
"25","D02","SCBI","SCBI_016","distributed","basePlot",1600
"26","D02","SCBI","SCBI_017","distributed","basePlot",1600
"27","D02","SCBI","SCBI_017","distributed","birdGrid",250000
"28","D02","SCBI","SCBI_018","distributed","basePlot",1600
"29","D02","SCBI","SCBI_019","distributed","basePlot",1600
"30","D02","SCBI","SCBI_020","distributed","mosquitoPoint",0
"31","D02","SCBI","SCBI_021","distributed","basePlot",1600
"32","D02","SCBI","SCBI_022","distributed","basePlot",1600
"33","D02","SCBI","SCBI_023","distributed","basePlot",1600
"34","D02","SCBI","SCBI_025","distributed","mosquitoPoint",0
"35","D02","SCBI","SCBI_027","distributed","mosquitoPoint",0
"36","D02","SCBI","SCBI_028","distributed","mosquitoPoint",0
"37","D02","SCBI","SCBI_029","distributed","mosquitoPoint",0
"38","D02","SCBI","SCBI_030","distributed","mosquitoPoint",0
"39","D02","SCBI","SCBI_031","distributed","mosquitoPoint",0
"40","D02","SCBI","SCBI_032","distributed","mosquitoPoint",0
"41","D02","SCBI","SCBI_033","distributed","basePlot",1600
"42","D02","SCBI","SCBI_034","distributed","basePlot",1600
"43","D02","SCBI","SCBI_034","distributed","birdGrid",250000
"44","D02","SCBI","SCBI_035","distributed","basePlot",1600
"45","D02","SCBI","SCBI_035","distributed","mammalGrid",8100
"46","D02","SCBI","SCBI_036","distributed","birdGrid",250000
"47","D02","SCBI","SCBI_037","distributed","basePlot",1600
"48","D02","SCBI","SCBI_038","distributed","basePlot",1600
"49","D02","SCBI","SCBI_039","distributed","basePlot",1600
"50","D02","SCBI","SCBI_039","distributed","mammalGrid",8100
"51","D02","SCBI","SCBI_039","distributed","tickPlot",1600
"52","D02","SCBI","SCBI_040","distributed","basePlot",1600
"53","D02","SCBI","SCBI_041","distributed","basePlot",1600
"54","D02","SCBI","SCBI_042","distributed","basePlot",1600
"55","D02","SCBI","SCBI_043","distributed","basePlot",1600
"56","D02","SCBI","SCBI_004","distributed","basePlot",1600
"57","D02","SCBI","SCBI_005","distributed","basePlot",1600
