"","domainID","siteID","plotID","plotType","subtype","plotSize"
"1","D05","UNDE","UNDE_063","tower","phenology",40000
"2","D05","UNDE","UNDE_058","tower","basePlot",1600
"3","D05","UNDE","UNDE_064","tower","phenology",40000
"4","D05","UNDE","UNDE_052","tower","basePlot",1600
"5","D05","UNDE","UNDE_053","tower","basePlot",1600
"6","D05","UNDE","UNDE_059","tower","basePlot",1600
"7","D05","UNDE","UNDE_060","tower","basePlot",1600
"8","D05","UNDE","UNDE_037","tower","basePlot",1600
"9","D05","UNDE","UNDE_061","tower","basePlot",1600
"10","D05","UNDE","UNDE_065","tower","basePlot",1600
"11","D05","UNDE","UNDE_043","tower","basePlot",1600
"12","D05","UNDE","UNDE_054","tower","basePlot",1600
"13","D05","UNDE","UNDE_044","tower","basePlot",1600
"14","D05","UNDE","UNDE_045","tower","basePlot",1600
"15","D05","UNDE","UNDE_055","tower","basePlot",1600
"16","D05","UNDE","UNDE_047","tower","basePlot",1600
"17","D05","UNDE","UNDE_048","tower","basePlot",1600
"18","D05","UNDE","UNDE_049","tower","basePlot",1600
"19","D05","UNDE","UNDE_050","tower","basePlot",1600
"20","D05","UNDE","UNDE_038","tower","basePlot",1600
"21","D05","UNDE","UNDE_056","tower","basePlot",1600
"22","D05","UNDE","UNDE_057","tower","basePlot",1600
