"","domainID","siteID","plotID","plotType","subtype","plotSize"
"379","D07","ORNL","ORNL_001","distributed","basePlot",1600
"380","D07","ORNL","ORNL_001","distributed","mammalGrid",8100
"381","D07","ORNL","ORNL_002","distributed","basePlot",1600
"382","D07","ORNL","ORNL_002","distributed","birdGrid",250000
"383","D07","ORNL","ORNL_002","distributed","mammalGrid",8100
"384","D07","ORNL","ORNL_002","distributed","tickPlot",1600
"385","D07","ORNL","ORNL_003","distributed","basePlot",1600
"386","D07","ORNL","ORNL_003","distributed","birdGrid",250000
"387","D07","ORNL","ORNL_003","distributed","mammalGrid",8100
"388","D07","ORNL","ORNL_003","distributed","tickPlot",1600
"389","D07","ORNL","ORNL_004","distributed","basePlot",1600
"390","D07","ORNL","ORNL_004","distributed","birdGrid",250000
"391","D07","ORNL","ORNL_004","distributed","mammalGrid",8100
"392","D07","ORNL","ORNL_005","distributed","mosquitoPoint",0
"393","D07","ORNL","ORNL_006","distributed","basePlot",1600
"394","D07","ORNL","ORNL_006","distributed","mammalGrid",8100
"395","D07","ORNL","ORNL_007","distributed","basePlot",1600
"396","D07","ORNL","ORNL_007","distributed","birdGrid",250000
"397","D07","ORNL","ORNL_007","distributed","mammalGrid",8100
"398","D07","ORNL","ORNL_007","distributed","tickPlot",1600
"399","D07","ORNL","ORNL_008","distributed","basePlot",1600
"400","D07","ORNL","ORNL_008","distributed","tickPlot",1600
"401","D07","ORNL","ORNL_009","distributed","basePlot",1600
"402","D07","ORNL","ORNL_009","distributed","tickPlot",1600
"403","D07","ORNL","ORNL_010","distributed","basePlot",1600
"404","D07","ORNL","ORNL_010","distributed","birdGrid",250000
"405","D07","ORNL","ORNL_011","distributed","mosquitoPoint",0
"406","D07","ORNL","ORNL_012","distributed","basePlot",1600
"407","D07","ORNL","ORNL_013","distributed","mosquitoPoint",0
"408","D07","ORNL","ORNL_014","distributed","basePlot",1600
"409","D07","ORNL","ORNL_015","distributed","basePlot",1600
"410","D07","ORNL","ORNL_017","distributed","basePlot",1600
"411","D07","ORNL","ORNL_018","distributed","basePlot",1600
"412","D07","ORNL","ORNL_019","distributed","basePlot",1600
"413","D07","ORNL","ORNL_021","distributed","basePlot",1600
"414","D07","ORNL","ORNL_022","distributed","mosquitoPoint",0
"415","D07","ORNL","ORNL_023","distributed","mosquitoPoint",0
"416","D07","ORNL","ORNL_024","distributed","mosquitoPoint",0
"417","D07","ORNL","ORNL_025","distributed","mosquitoPoint",0
"418","D07","ORNL","ORNL_026","distributed","mosquitoPoint",0
"419","D07","ORNL","ORNL_027","distributed","basePlot",1600
"420","D07","ORNL","ORNL_027","distributed","birdGrid",250000
"421","D07","ORNL","ORNL_027","distributed","mammalGrid",8100
"422","D07","ORNL","ORNL_028","distributed","mosquitoPoint",0
"423","D07","ORNL","ORNL_029","distributed","basePlot",1600
"424","D07","ORNL","ORNL_029","distributed","birdGrid",250000
"425","D07","ORNL","ORNL_030","distributed","mosquitoPoint",0
"426","D07","ORNL","ORNL_031","distributed","basePlot",1600
"427","D07","ORNL","ORNL_032","distributed","basePlot",1600
"428","D07","ORNL","ORNL_033","distributed","basePlot",1600
"429","D07","ORNL","ORNL_034","distributed","birdGrid",250000
"430","D07","ORNL","ORNL_035","distributed","basePlot",1600
"431","D07","ORNL","ORNL_035","distributed","birdGrid",250000
"432","D07","ORNL","ORNL_036","tower","basePlot",1600
"433","D07","ORNL","ORNL_037","tower","basePlot",1600
"434","D07","ORNL","ORNL_038","distributed","birdGrid",250000
"435","D07","ORNL","ORNL_039","distributed","mammalGrid",8100
"436","D07","ORNL","ORNL_040","distributed","basePlot",1600
"437","D07","ORNL","ORNL_040","distributed","tickPlot",1600
"438","D07","ORNL","ORNL_041","distributed","basePlot",1600
"439","D07","ORNL","ORNL_043","tower","basePlot",1600
"440","D07","ORNL","ORNL_044","distributed","basePlot",1600
"441","D07","ORNL","ORNL_045","tower","basePlot",1600
"442","D07","ORNL","ORNL_046","tower","basePlot",1600
"443","D07","ORNL","ORNL_047","distributed","basePlot",1600
"444","D07","ORNL","ORNL_048","distributed","basePlot",1600
"445","D07","ORNL","ORNL_048","distributed","birdGrid",250000
"446","D07","ORNL","ORNL_049","tower","basePlot",1600
"447","D07","ORNL","ORNL_050","tower","basePlot",1600
"448","D07","ORNL","ORNL_051","tower","basePlot",1600
"449","D07","ORNL","ORNL_052","tower","basePlot",1600
"450","D07","ORNL","ORNL_053","tower","basePlot",1600
"451","D07","ORNL","ORNL_054","tower","basePlot",1600
"452","D07","ORNL","ORNL_055","tower","basePlot",1600
"453","D07","ORNL","ORNL_056","tower","basePlot",1600
"454","D07","ORNL","ORNL_057","tower","basePlot",1600
"455","D07","ORNL","ORNL_058","tower","basePlot",1600
"456","D07","ORNL","ORNL_059","tower","basePlot",1600
"457","D07","ORNL","ORNL_060","tower","basePlot",1600
"458","D07","ORNL","ORNL_061","tower","basePlot",1600
"459","D07","ORNL","ORNL_062","tower","basePlot",1600
"460","D07","ORNL","ORNL_063","tower","basePlot",1600
"461","D07","ORNL","ORNL_064","tower","phenology",40000
"462","D07","ORNL","ORNL_065","tower","phenology",40000
"463","D07","ORNL","ORNL_067","distributed","basePlot",1600
"464","D07","ORNL","ORNL_068","distributed","basePlot",1600
"1003","D07","ORNL","ORNL_016","distributed","basePlot",1600
"1004","D07","ORNL","ORNL_020","distributed","basePlot",1600
"1005","D07","ORNL","ORNL_034","distributed","basePlot",1600
"1006","D07","ORNL","ORNL_066","distributed","basePlot",1600
