"","domainID","siteID","plotID","plotType","subtype","plotSize"
"1","D09","WOOD","WOOD_057","tower","basePlot",1600
"2","D09","WOOD","WOOD_021","distributed","basePlot",1600
"3","D09","WOOD","WOOD_022","distributed","basePlot",1600
"4","D09","WOOD","WOOD_023","distributed","basePlot",1600
"5","D09","WOOD","WOOD_044","tower","basePlot",1600
"6","D09","WOOD","WOOD_058","tower","basePlot",1600
"7","D09","WOOD","WOOD_024","distributed","basePlot",1600
"8","D09","WOOD","WOOD_024","distributed","tickPlot",1600
"9","D09","WOOD","WOOD_059","tower","basePlot",1600
"10","D09","WOOD","WOOD_045","tower","basePlot",1600
"11","D09","WOOD","WOOD_060","tower","basePlot",1600
"12","D09","WOOD","WOOD_061","tower","basePlot",1600
"13","D09","WOOD","WOOD_004","distributed","basePlot",1600
"14","D09","WOOD","WOOD_062","tower","basePlot",1600
"15","D09","WOOD","WOOD_025","distributed","basePlot",1600
"16","D09","WOOD","WOOD_035","distributed","mosquitoPoint",0
"17","D09","WOOD","WOOD_005","distributed","basePlot",1600
"18","D09","WOOD","WOOD_063","tower","basePlot",1600
"19","D09","WOOD","WOOD_027","distributed","basePlot",1600
"20","D09","WOOD","WOOD_006","distributed","basePlot",1600
"21","D09","WOOD","WOOD_006","distributed","mammalGrid",8100
"22","D09","WOOD","WOOD_006","distributed","tickPlot",1600
"23","D09","WOOD","WOOD_006","distributed","birdGrid",250000
"24","D09","WOOD","WOOD_007","distributed","basePlot",1600
"25","D09","WOOD","WOOD_007","distributed","tickPlot",1600
"26","D09","WOOD","WOOD_029","distributed","basePlot",1600
"27","D09","WOOD","WOOD_029","distributed","birdGrid",250000
"28","D09","WOOD","WOOD_046","tower","basePlot",1600
"29","D09","WOOD","WOOD_047","tower","basePlot",1600
"30","D09","WOOD","WOOD_064","tower","basePlot",1600
"31","D09","WOOD","WOOD_036","distributed","mosquitoPoint",0
"32","D09","WOOD","WOOD_065","tower","basePlot",1600
"33","D09","WOOD","WOOD_048","tower","basePlot",1600
"34","D09","WOOD","WOOD_008","distributed","basePlot",1600
"35","D09","WOOD","WOOD_008","distributed","birdGrid",250000
"36","D09","WOOD","WOOD_008","distributed","mammalGrid",8100
"37","D09","WOOD","WOOD_066","tower","basePlot",1600
"38","D09","WOOD","WOOD_001","distributed","mammalGrid",8100
"39","D09","WOOD","WOOD_001","distributed","basePlot",1600
"40","D09","WOOD","WOOD_001","distributed","tickPlot",1600
"41","D09","WOOD","WOOD_067","tower","basePlot",1600
"42","D09","WOOD","WOOD_009","distributed","mammalGrid",8100
"43","D09","WOOD","WOOD_009","distributed","basePlot",1600
"44","D09","WOOD","WOOD_009","distributed","birdGrid",250000
"45","D09","WOOD","WOOD_009","distributed","tickPlot",1600
"46","D09","WOOD","WOOD_068","tower","basePlot",1600
"47","D09","WOOD","WOOD_069","tower","basePlot",1600
"48","D09","WOOD","WOOD_037","distributed","mosquitoPoint",0
