sampleID,Domain,SiteID,quarantinedYN,CollDate,Remarks
BART_004_21_12_7_Mineral_20140520,D01,BART,No,20140520,
BART_004_21_12_7_Organic_20140520,D01,BART,No,20140520,
BART_004_39_5_26_Mineral_20140520,D01,BART,No,20140520,2
BART_004_39_5_26_Organic_20140520,D01,BART,No,20140520,2
BART_004_41_35_24_Mineral_20140520,D01,BART,No,20140520,
BART_004_41_35_24_Organic_20140520,D01,BART,No,20140520,
BART_006_21_17_9_Mineral_20140520,D01,BART,No,20140520,
BART_006_21_17_9_Organic_20140520,D01,BART,No,20140520,
BART_006_21_9_11_Mineral_20140520 ,D01,BART,No,20140520,
BART_006_21_9_11_Organic_20140520 ,D01,BART,No,20140520,
BART_006_41_29_37_Mineral_20140520,D01,BART,No,20140520,
BART_006_41_29_37_Organic_20140520,D01,BART,No,20140520,
BART_028_39_15_33_Mineral 21040520,D01,BART,No,20140520,
BART_028_39_15_33_Organic 21040520,D01,BART,No,20140520,
BART_028_39_2_33_Mineral_20140520,D01,BART,No,20140520,
BART_028_39_2_33_Organic_20140520,D01,BART,No,20140520,
BART_028_41_21_39_Mineral_20140520,D01,BART,No,20140520,
BART_028_41_21_39_Organic_20140520,D01,BART,No,20140520,
BART_001_23_26_3_Mineral_20140521,D01,BART,No,20140521,
BART_001_23_26_3_Organic_20140521,D01,BART,No,20140521,
BART_001_23_29_2_Mineral_20140521,D01,BART,No,20140521,
BART_001_23_29_2_Organic_20140521,D01,BART,No,20140521,
BART_001_39_17_34_Mineral_20140521,D01,BART,No,20140521,
BART_001_39_17_34_Organic_20140521,D01,BART,No,20140521,
BART_001_21_1_6_Mineral_20140619,D01,BART,No,20140619,
BART_001_21_1_6_Organic_20140619,D01,BART,No,20140619,
BART_001_21_7_5_Mineral_20140619,D01,BART,No,20140619,
BART_001_21_7_5_Organic_20140619,D01,BART,No,20140619,
BART_001_21_9_17_Mineral_20140619,D01,BART,No,20140619,
BART_001_21_9_17_Organic_20140619,D01,BART,No,20140619,
BART_004_21_11_0_Mineral_20140619,D01,BART,No,20140619,
BART_004_21_11_0_Organic_20140619,D01,BART,No,20140619,
BART_004_23_30_5_Mineral_20140619,D01,BART,No,20140619,Bag 16
BART_004_23_30_5_Organic_20140619,D01,BART,No,20140619,Bag 16
BART_004_41_27_36_Mineral_20140619,D01,BART,No,20140619,
BART_004_41_27_36_Organic_20140619,D01,BART,No,20140619,
BART_006_ 21(1_7_Mineral_20140619,D01,BART,No,20140619,
BART_006_ 21(1_7_Organic_20140619,D01,BART,No,20140619,
BART_006_23_33_0_Mineral_20140619,D01,BART,No,20140619,
BART_006_23_33_0_Organic_20140619,D01,BART,No,20140619,
BART_006_39_3_26_Mineral_20140619,D01,BART,No,20140619,
BART_006_39_3_26_Organic_20140619,D01,BART,No,20140619,
BART_028 _39_20_40_Mineral_20140619,D01,BART,No,20140619,
BART_028 _39_20_40_Organic_20140619,D01,BART,No,20140619,
BART_028_23_33_4_Mineral_20140619,D01,BART,No,20140619,
BART_028_23_33_4_Organic_20140619,D01,BART,No,20140619,
BART_028_41_21_38_Mineral_20140619,D01,BART,No,20140619,
BART_028_41_21_38_Organic_20140619,D01,BART,No,20140619,
BART_001_21_7_0_Mineral_20140722,D01,BART,No,20140722,
BART_001_21_7_0_Organic_20140722,D01,BART,No,20140722,
BART_001_39_22_32_Organic_20140722,D01,BART,No,20140722,
BART_001_41_30_37_Mineral_20140722,D01,BART,No,20140722,
BART_001_41_30_37_Organic_20140722,D01,BART,No,20140722,
BART_028_39_0_30_Mineral_20140722,D01,BART,No,20140722,
BART_028_39_0_30_Organic_20140722,D01,BART,No,20140722,
BART_004_21_9_4_Mineral_20140722,D01,BART,No,20140722,
BART_004_21_9_4_Organic_20140722,D01,BART,No,20140722,
BART_004_23_25_6_Mineral_20140722,D01,BART,No,20140722,
BART_004_23_25_6_Organic_20140722,D01,BART,No,20140722,
BART_004_39_10_34_Mineral_20140722,D01,BART,No,20140722,Bag 16
BART_004_39_10_34_Organic_20140722,D01,BART,No,20140722,
BART_006_21_15_7_Mineral_20140722,D01,BART,No,20140722,
BART_006_21_15_7_Organic_20140722,D01,BART,No,20140722,
BART_006_21_4_7_Mineral_20140722,D01,BART,No,20140722,
BART_006_21_4_7_Organic_20140722,D01,BART,No,20140722,
BART_006_23_33_11_Mineral_20140722,D01,BART,No,20140722,
BART_006_23_33_11_Organic_20140722,D01,BART,No,20140722,
BART_028_21_16_7_Mineral_20140722,D01,BART,No,20140722,
BART_028_21_16_7_Organic_20140722,D01,BART,No,20140722,
BART_028_41_23_38_Mineral_20140722,D01,BART,No,20140722,
BART_028_41_23_38_Organic_20140722,D01,BART,No,20140722,
BART_001_21_14_ 7_Mineral_20140819,D01,BART,No,20140819,
BART_001_21_14_ 7_Organic_20140819,D01,BART,No,20140819,
BART_001_21_15_ 1_Mineral_20140819,D01,BART,No,20140819,
BART_001_21_15_ 1_Organic_20140819,D01,BART,No,20140819,
BART_001_23_39_ 16_Mineral_20140819,D01,BART,No,20140819,
BART_001_23_39_ 16_Organic_20140819,D01,BART,No,20140819,
BART_004_21_19_ 1_Mineral_20140819,D01,BART,No,20140819,
BART_004_21_19_ 1_Organic_20140819,D01,BART,No,20140819,
BART_004_39_3_ 28_Mineral_20140819,D01,BART,No,20140819,
BART_004_39_3_ 28_Organic_20140819,D01,BART,No,20140819,
BART_004_39_9_ 34_Mineral_20140819,D01,BART,No,20140819,2
BART_004_39_9_ 34_Organic_20140819,D01,BART,No,20140819,
BART_005_21_4_ 9_Mineral_20140819,D01,BART,No,20140819,
BART_005_21_4_ 9_Organic_20140819,D01,BART,No,20140819,
BART_005_23_33_ 2_Mineral_20140819,D01,BART,No,20140819,
BART_005_23_33_ 2_Organic_20140819,D01,BART,No,20140819,
BART_005_41_24_ 40_Mineral_20140819,D01,BART,No,20140819,
BART_005_41_24_ 40_Organic_20140819,D01,BART,No,20140819,
BART_023_23_23_ 8_Mineral_20140819,D01,BART,No,20140819,
BART_023_23_23_ 8_Organic_20140819,D01,BART,No,20140819,
BART_023_23_31_ 3_Mineral_20140819,D01,BART,No,20140819,
BART_023_23_31_ 3_Organic_20140819,D01,BART,No,20140819,
BART_023_39_19_ 30_Mineral_20140819,D01,BART,No,20140819,
BART_023_39_19_ 30_Organic_20140819,D01,BART,No,20140819,
BART_006_21_0_ 13_Mineral_20140820,D01,BART,No,20140820,
BART_006_21_13_ 6_Mineral_20140820,D01,BART,No,20140820,
BART_006_21_13_ 6_Organic_20140820,D01,BART,No,20140820,
BART_006_23_28_ 3_Mineral_20140820,D01,BART,No,20140820,
BART_006_23_28_ 3_Organic_20140820,D01,BART,No,20140820,
BART_028_39_13_ 32_Mineral_20140820,D01,BART,No,20140820,
BART_028_39_13_ 32_Organic_20140820,D01,BART,No,20140820,
BART_028_41_30_ 27_Mineral_20140820,D01,BART,No,20140820,
BART_028_41_30_ 27_Organic_20140820,D01,BART,No,20140820,
BART_028_41_37_ 22_Mineral_20140820,D01,BART,No,20140820,
BART_028_41_37_ 22_Organic_20140820,D01,BART,No,20140820,
BART_033_21_6_ 12_Mineral_20140820,D01,BART,No,20140820,
BART_033_21_6_ 12_Organic_20140820,D01,BART,No,20140820,
BART_033_23_36_ 16_Mineral_20140820,D01,BART,No,20140820,
BART_033_23_36_ 16_Organic_20140820,D01,BART,No,20140820,
BART_033_39_3_ 37_Mineral_20140820,D01,BART,No,20140820,
BART_033_39_3_ 37_Organic_20140820,D01,BART,No,20140820,
BART_034_23_33_ 4_Mineral_20140820,D01,BART,No,20140820,
BART_034_23_33_ 4_Organic_20140820,D01,BART,No,20140820,
BART_034_41_23_ 30_Mineral_20140820,D01,BART,No,20140820,
BART_034_41_23_ 30_Organic_20140820,D01,BART,No,20140820,
BART_034_41_30_ 38_Mineral_20140820,D01,BART,No,20140820,
BART_034_41_30_ 38_Organic_20140820,D01,BART,No,20140820,
BART_002_23_33_ 17)Mineral_20140821,D01,BART,No,20140821,
BART_002_39_17_ 37_Mineral_20140821,D01,BART,No,20140821,
BART_002_39_2_ 27_Mineral_20140821,D01,BART,No,20140821,
BART_032_21_2_ 1_Mineral_20140821,D01,BART,No,20140821,
BART_032_21_2_ 1_Organic_20140821,D01,BART,No,20140821,
BART_032_21_8_ 11_Mineral_20140821,D01,BART,No,20140821,
BART_032_21_8_ 11_Organic_20140821,D01,BART,No,20140821,
BART_032_41_39_ 30_Mineral_20140821,D01,BART,No,20140821,
BART_032_41_39_ 30_Organic_20140821,D01,BART,No,20140821,
BART_001_21_4_15_Mineral_20140923,D01,BART,No,20140923,
BART_001_21_4_15_Organic_20140923,D01,BART,No,20140923,
BART_001_23_27_7_Mineral_20140923,D01,BART,No,20140923,
BART_001_23_27_7_Organic_20140923,D01,BART,No,20140923,
BART_001_41_38_23_Mineral_20140923,D01,BART,No,20140923,
BART_001_41_38_23_Organic_20140923,D01,BART,No,20140923,
BART_004_21_8_8_Mineral_20140923,D01,BART,No,20140923,
BART_004_21_8_8_Organic_20140923,D01,BART,No,20140923,
BART_004_39_8_40_Mineral_20140923,D01,BART,No,20140923,
BART_004_39_8_40_Organic_20140923,D01,BART,No,20140923,
BART_004_41_36_24_Mineral_20140923,D01,BART,No,20140923,
BART_004_41_36_24_Organic_20140923,D01,BART,No,20140923,
BART_006_23_38_6_Mineral_20140923,D01,BART,No,20140923,
BART_006_23_38_6_Organic_20140923,D01,BART,No,20140923,
BART_006_39_16_40_Mineral_20140923,D01,BART,No,20140923,
BART_006_39_16_40_Organic_20140923,D01,BART,No,20140923,
BART_006_41_34_40_Mineral_20140923,D01,BART,No,20140923,
BART_006_41_34_40_Organic_20140923,D01,BART,No,20140923,
BART_028_21_14_6_Mineral_20140923,D01,BART,No,20140923,
BART_028_21_14_6_Organic_20140923,D01,BART,No,20140923,
BART_028_39_14_30_Mineral_20140923,D01,BART,No,20140923,
BART_028_39_14_30_Organic_20140923,D01,BART,No,20140923,
BART_028_41_26_35_Mineral_20140923,D01,BART,No,20140923,
BART_028_41_26_35_Organic_20140923,D01,BART,No,20140923,
