easting,northing,dbh.cm,stemrad.m,maxcanopy.m,mincanopy.m,canopyrad.m,firstbranch.m,height.m,species,color,status
403922.29,3285100.6,NA,NA,0.6,NA,0.3,NA,1,Asin,"#000000""""",Alive
403916.85,3285111.06,NA,NA,0.7,NA,0.35,NA,1.2,Asin,"#000000""""",Alive
403871.08,3285066.4,NA,NA,0.7,NA,0.35,NA,1.5,Divi,"#000000""""",Alive
403881.55,3285094.91,NA,NA,0.7,NA,0.35,NA,1.4,Vaar,"#000000""""",Dead
403927.93,3285102.21,NA,NA,0.8,NA,0.4,NA,1.1,Asin,"#000000""""",Alive
403903.97,3285086.65,NA,NA,0.9,NA,0.45,NA,1.8,Divi,"#000000""""",Alive
403926.12,3285117.88,NA,NA,1,NA,0.5,NA,1.2,Asin,"#000000""""",Alive
403875.15,3285083.36,NA,NA,1,NA,0.5,NA,2.3,Divi,"#000000""""",Alive
403933.82,3285110.64,NA,NA,1.1,NA,0.55,NA,1.2,Asin,"#000000""""",Alive
403881.79,3285094.47,NA,NA,1.1,NA,0.55,NA,1.1,Vaar,"#000000""""",Dead
403882.77,3285095.59,NA,NA,1.2,NA,0.6,NA,1.1,Vaar,"#000000""""",Dead
403884.87,3285096.76,NA,NA,1.2,NA,0.6,NA,1.6,Vaar,"#000000""""",Dead
403862.68,3285077.26,NA,NA,1.3,NA,0.65,NA,1.7,Vaar,"#000000""""",Alive
403911.72,3285107.53,NA,NA,1.5,NA,0.75,NA,2.5,Divi,"#000000""""",Alive
403903.5,3285106.06,NA,NA,2.1,NA,1.05,NA,2.8,Vaar,"#000000""""",Unknown
403867.54,3285063.77,NA,NA,0.5,0.5,0.25,3,3.8,Pipa,"#f7941d""""",Alive
403874.92,3285090.78,5.4,0.027,0.8,0.6,0.35,1.8,2.4,Pipa,"#f7941d""""",Horizontal
403912.69,3285102.47,NA,NA,0.7,NA,0.35,NA,1.8,Pipa,"#f7941d""""",Alive
403890.32,3285094.97,NA,NA,0.8,NA,0.4,NA,2.7,Pipa,"#f7941d""""",Alive
403859.14,3285079.46,5,0.025,1,0.9,0.48,3,4,Pipa,"#f7941d""""",Alive
403858.1,3285072.6,4.6,0.023,1.2,0.8,0.5,2.5,5.3,Pipa,"#f7941d""""",Alive
403857.76,3285067.19,4.8,0.024,1.2,1.1,0.58,3.2,5,Pipa,"#f7941d""""",Alive
403923.88,3285116.36,5.2,0.026,1.4,1,0.6,1.7,5.2,Pipa,"#f7941d""""",Alive
403860.86,3285075.3,4.9,0.025,1.4,1.1,0.63,3.7,5.1,Pipa,"#f7941d""""",Alive
403869.1,3285073.63,7,0.035,2,0.6,0.65,2.7,7,Pipa,"#f7941d""""",Alive
403866.86,3285066.57,7,0.035,1.5,1.1,0.65,5.4,9.7,Pipa,"#f7941d""""",Dead
403860.11,3285059.24,10,0.05,2,0.7,0.68,4.2,8.8,Pipa,"#f7941d""""",Alive
403868.55,3285072.65,9.5,0.048,2,1,0.75,4.7,11.5,Pipa,"#f7941d""""",Alive
403863.46,3285065.36,7.4,0.037,1.7,1.3,0.75,5,7.5,Pipa,"#f7941d""""",Alive
403869.25,3285072.16,7.3,0.037,2,1.1,0.78,3.8,9.7,Pipa,"#f7941d""""",Alive
403879.59,3285089.59,5.3,0.027,2,1.3,0.83,3.8,5.9,Pipa,"#f7941d""""",Alive
403862.38,3285080.91,6.4,0.032,1.9,1.5,0.85,3.8,6.8,Pipa,"#f7941d""""",Alive
403849.81,3285065.93,6,0.03,1.8,1.6,0.85,3.7,6.7,Pipa,"#f7941d""""",Alive
403867.61,3285072.62,10.2,0.051,2.7,0.8,0.88,3.8,10.9,Pipa,"#f7941d""""",Alive
403874.9,3285068.61,8.9,0.045,2.2,1.3,0.88,6,9.4,Pipa,"#f7941d""""",Alive
403862.43,3285076.73,5.9,0.03,1.8,1.7,0.88,3,6.7,Pipa,"#f7941d""""",Alive
403871.77,3285066.98,7.1,0.036,1.9,1.7,0.9,5.1,8.5,Pipa,"#f7941d""""",Alive
403873.61,3285070.16,7.1,0.036,1.9,1.7,0.9,5.6,7.6,Pipa,"#f7941d""""",Alive
403870.01,3285075.68,7.1,0.036,3.1,0.8,0.98,4.3,9,Pipa,"#f7941d""""",Alive
403875.91,3285071.22,6,0.03,2.7,1.2,0.98,5.6,7.9,Pipa,"#f7941d""""",Alive
403870.02,3285072.8,10.3,0.052,3,1,1,4.4,11.6,Pipa,"#f7941d""""",Alive
403880.45,3285072.71,6.5,0.033,2.3,1.8,1.03,4.3,7.9,Pipa,"#f7941d""""",Alive
403869.35,3285074.88,9.8,0.049,3.1,1.1,1.05,4.7,10.5,Pipa,"#f7941d""""",Alive
403861.83,3285075.12,9.1,0.046,2.5,1.8,1.08,4.3,9.1,Pipa,"#f7941d""""",Alive
403880.57,3285091.74,7.1,0.036,2.3,2.1,1.1,4.6,7.4,Pipa,"#f7941d""""",Alive
403881.55,3285094.91,8,0.04,2.3,2.1,1.1,4.7,8.4,Pipa,"#f7941d""""",Alive
403862.18,3285076.2,11.2,0.056,2.3,2.3,1.15,5.3,12.3,Pipa,"#f7941d""""",Alive
403843.47,3285062.98,13.8,0.069,3.4,1.5,1.21,9,12.6,Pipa,"#f7941d""""",Alive
403887.39,3285095.52,10.9,0.055,3.3,1.6,1.23,5.4,12.7,Pipa,"#f7941d""""",Alive
403836.19,3285061.81,9.8,0.049,2.5,2.4,1.23,3.3,9.1,Pipa,"#f7941d""""",Alive
403879.74,3285083.96,10.3,0.052,3.3,2.2,1.38,2.3,10.8,Pipa,"#f7941d""""",Alive
403869.9,3285074.77,13.5,0.068,4,1.6,1.4,8.5,14.2,Pipa,"#f7941d""""",Alive
403932.36,3285121.67,11.9,0.06,3.4,2.8,1.55,3.7,9.2,Pipa,"#f7941d""""",Alive
403894.17,3285080.41,13,0.065,3.3,3.1,1.6,6.1,13.5,Pipa,"#f7941d""""",Alive
403893.94,3285096.07,18.4,0.092,5,1.9,1.73,2.6,10.1,Pipa,"#f7941d""""",Alive
403895.28,3285078.4,15.6,0.078,4.2,3.3,1.88,8,15.5,Pipa,"#f7941d""""",Alive
403871.14,3285077.05,15.9,0.08,5.2,2.4,1.9,4.1,13.6,Pipa,"#f7941d""""",Alive
403867.53,3285083.66,16,0.08,4.1,3.7,1.95,6.1,13.3,Pipa,"#f7941d""""",Alive
403853.53,3285071.33,20.6,0.103,4.2,3.7,1.98,9.4,15.4,Pipa,"#f7941d""""",Alive
403854.04,3285058.41,17,0.085,5.6,2.5,2.03,5,12.4,Pipa,"#f7941d""""",Alive
403912.7,3285098.13,16,0.08,4.6,4.2,2.2,9.1,14.2,Pipa,"#f7941d""""",Alive
403908.94,3285100.16,30.1,0.151,4.4,NA,2.2,NA,17.4,Pipa,"#f7941d""""",Dead
403887.88,3285088.25,24.3,0.122,7.5,2.8,2.58,8.1,19.2,Pipa,"#f7941d""""",Alive
403850.38,3285068.48,27.6,0.138,5.9,4.8,2.68,8.5,18.3,Pipa,"#f7941d""""",Alive
403905.42,3285099.92,22.9,0.115,7,4.2,2.8,5.1,13.8,Pipa,"#f7941d""""",Alive
403924.56,3285104.08,27.2,0.136,7,4.2,2.8,9.4,18.9,Pipa,"#f7941d""""",Alive
403851.72,3285073.12,28.3,0.142,6.8,5.4,3.05,6.4,18.1,Pipa,"#f7941d""""",Alive
403873.85,3285083.22,24.5,0.123,7.3,5,3.08,4.4,16.1,Pipa,"#f7941d""""",Alive
403853.94,3285077.88,27.2,0.136,6.4,6,3.1,7.4,16.4,Pipa,"#f7941d""""",Alive
403852.9,3285053.3,38,0.19,7.8,4.8,3.15,7.3,19.4,Pipa,"#f7941d""""",Alive
403940.4,3285102.76,26.2,0.131,7.7,5,3.18,7.4,17.8,Pipa,"#f7941d""""",Alive
403835.01,3285052.1,40,0.2,9.7,4.2,3.48,10.4,20.1,Pipa,"#f7941d""""",Alive
403909.84,3285110.49,20.8,0.104,7.5,6.4,3.48,8.3,16.8,Pipa,"#f7941d""""",Alive
403931.51,3285098.96,33.7,0.169,9.6,4.4,3.5,7.6,19.7,Pipa,"#f7941d""""",Alive
403907.69,3285095,34,0.17,10.7,4.1,3.7,8.3,18.5,Pipa,"#f7941d""""",Alive
403845.49,3285059.28,31,0.155,10.3,4.7,3.74,6.9,15.7,Pipa,"#f7941d""""",Alive
403896.11,3285094.64,30.4,0.152,11,4,3.75,7.6,16.8,Pipa,"#f7941d""""",Alive
403912.97,3285111.66,27.2,0.136,8.9,6.3,3.8,7.3,14.9,Pipa,"#f7941d""""",Alive
403853.97,3285060.29,37,0.185,9.2,7.4,4.15,10.2,20.8,Pipa,"#f7941d""""",Alive
