Site Id,Date,TOBS.I-1_C ,TMAX.D-1_C ,TMAX.D-2_C ,TMIN.D-1_C ,TMIN.D-2_C ,TAVG.D-1_C ,TAVG.D-2_C 
2039,38717,-1.4,0,-99.9,-2.7,-99.9,-1.3,-99.9
2039,38718,-4.3,3.3,-99.9,-4.3,-99.9,-1.1,-99.9
2039,38719,-7.7,-3.9,-99.9,-7.7,-99.9,-5.1,-99.9
2039,38720,-5.9,-2.3,-99.9,-9.6,-99.9,-5.9,-99.9
2039,38721,-6.1,-0.5,-99.9,-6.1,-99.9,-3.7,-99.9
2039,38722,-3.5,0.9,-99.9,-6.1,-99.9,-2.9,-99.9
2039,38723,-3.2,3.3,-99.9,-4.8,-99.9,-0.9,-99.9
2039,38724,-1.8,2.7,-99.9,-9,-99.9,-2.1,-99.9
2039,38725,-5.6,-1.8,-99.9,-5.8,-99.9,-3.7,-99.9
2039,38726,-6,2.3,-99.9,-10.4,-99.9,-3.9,-99.9
2039,38727,-8.2,1,-99.9,-10.8,-99.9,-5.5,-99.9
2039,38728,-0.6,3.5,-99.9,-11.7,-99.9,-3.3,-99.9
2039,38729,-6.6,0.6,-99.9,-6.9,-99.9,-2,-99.9
2039,38730,-3.6,7.2,-99.9,-9.9,-99.9,-1.2,-99.9
2039,38731,0.8,12.2,-99.9,-6.3,-99.9,2.5,-99.9
2039,38732,4,14.5,-99.9,-2.2,-99.9,6.7,-99.9
2039,38733,5,12.2,-99.9,-1.1,-99.9,5.4,-99.9
2039,38734,3.2,5,-99.9,2.4,-99.9,3.2,-99.9
2039,38735,4.5,14.6,-99.9,0.5,-99.9,6.6,-99.9
2039,38736,5,15.2,-99.9,-0.1,-99.9,7.4,-99.9
2039,38737,0.3,5.6,-99.9,0,-99.9,2.2,-99.9
2039,38738,-1,3.2,-99.9,-1,-99.9,0.7,-99.9
2039,38739,2,2.8,-99.9,-1.2,-99.9,0.4,-99.9
2039,38740,1.7,8.2,-99.9,1.6,-99.9,3.7,-99.9
2039,38741,8.2,8.2,-99.9,0,-99.9,1.8,-99.9
2039,38742,5.6,15,-99.9,5.6,-99.9,11.9,-99.9
2039,38743,1.4,5.8,-99.9,0.4,-99.9,3.5,-99.9
2039,38744,2.9,6,-99.9,-3.5,-99.9,1.4,-99.9
2039,38745,-3,11.9,-99.9,-3,-99.9,4.4,-99.9
2039,38746,-5.5,-3,-99.9,-7.3,-99.9,-5.1,-99.9
2039,38747,-9.6,-5.4,-99.9,-9.9,-99.9,-8.9,-99.9
2039,38748,-0.9,0.7,-99.9,-15.1,-99.9,-6.9,-99.9
2039,38749,-3.7,5.3,-99.9,-5.2,-99.9,-0.1,-99.9
2039,38750,-2,2.8,-99.9,-5.5,-99.9,-1.7,-99.9
2039,38751,-0.4,3.6,-99.9,-4.2,-99.9,-0.4,-99.9
2039,38752,0.6,5.4,-99.9,-5.5,-99.9,0.5,-99.9
2039,38753,-2.8,0.6,-99.9,-3,-99.9,-1.3,-99.9
2039,38754,-8.5,-2.8,-99.9,-8.8,-99.9,-5,-99.9
2039,38755,-9.6,-0.3,-99.9,-12.4,-99.9,-6.8,-99.9
2039,38756,-7.2,1.3,-99.9,-12.5,-99.9,-5.7,-99.9
2039,38757,-2.8,3.3,-99.9,-8.6,-99.9,-3.3,-99.9
2039,38758,-0.8,-0.8,-99.9,-7.3,-99.9,-3.2,-99.9
2039,38759,-2.6,4.2,-99.9,-2.6,-99.9,0.6,-99.9
2039,38760,-2,4.3,-99.9,-9.1,-99.9,-1.8,-99.9
2039,38761,-3.1,0.9,-99.9,-3.5,-99.9,-1.7,-99.9
2039,38762,-2.4,4.4,-99.9,-6.5,-99.9,-0.6,-99.9
2039,38763,-2.9,0,-99.9,-7.6,-99.9,-3.4,-99.9
2039,38764,-3.8,1.2,-99.9,-6,-99.9,-2.2,-99.9
2039,38765,-1.9,2.5,-99.9,-7.2,-99.9,-1.7,-99.9
2039,38766,2.7,7.2,-99.9,-1.9,-99.9,2.7,-99.9
