Site Id,Date,TOBS.I-1_C ,TMAX.D-1_C ,TMIN.D-1_C ,TAVG.D-1_C 
2039,41640,-0.9,8.3,-3.2,1.9
2039,41641,0.4,10,-3.6,2
2039,41642,-0.6,3.1,-2.6,0
2039,41643,-11,-0.6,-11,-5.8
2039,41644,-0.9,1.6,-12.3,-5.1
2039,41645,1.9,2,-0.9,0.3
2039,41646,-12.3,8,-12.3,1
2039,41647,-9.5,-6.9,-15.4,-11.5
2039,41648,-3.4,0.5,-13.8,-6.5
2039,41649,-0.6,5.8,-4.2,-0.2
2039,41650,1.4,1.6,-0.8,0.5
2039,41651,10.2,11.3,1.4,6.3
2039,41652,3,12.2,1.7,7.7
2039,41653,9.8,14.6,-0.2,7.2
2039,41654,0.9,9.8,0.8,6.9
2039,41655,0.6,12,-1.7,3.3
2039,41656,-1.4,3.7,-1.6,0.2
2039,41657,2.2,8.6,-4.4,1.8
2039,41658,-4.7,2.2,-4.9,-1.6
2039,41659,2.8,8.4,-5.6,1.2
2039,41660,1.2,14.5,0.3,5.9
2039,41661,-8.4,1.7,-8.4,-2.4
2039,41662,-10.5,-6.4,-12.7,-9.6
2039,41663,-99.9,-3.4,-15.8,-9.5
2039,41664,-8.2,-5.3,-13.4,-9.5
2039,41665,-2.2,0.6,-8.2,-3.8
2039,41666,-2.8,4,-8.4,-3.2
2039,41667,-4.8,13.8,-4.8,3.2
2039,41668,-11.7,-4.8,-11.7,-9.1
2039,41669,-11.4,-3.5,-14.9,-9.4
2039,41670,-6.2,0.5,-13.1,-6.5
2039,41671,0.8,11.8,-6.2,1.9
2039,41672,6.8,12.7,-3.3,4.4
2039,41673,9.9,18.8,2.8,11.3
2039,41674,0.9,9.9,-0.3,3.2
2039,41675,-0.8,2.6,-0.9,0.6
2039,41676,1.8,12,-1,2.8
2039,41677,-1.8,2.5,-2.6,-0.2
2039,41678,-1.2,5.5,-5.2,0
2039,41679,-1.7,0.8,-2.6,-1.4
2039,41680,-1.3,2.3,-2,-0.1
2039,41681,-4.9,-0.2,-4.9,-2.4
2039,41682,-6.2,-0.1,-8.8,-4.8
2039,41683,-5.7,-4.3,-8.8,-6.4
2039,41684,3.3,3.4,-5.7,-1.6
2039,41685,4.4,11.5,0,5.6
2039,41686,-1.6,4.6,-1.8,1.4
2039,41687,0.2,5,-3.9,0.4
2039,41688,-2.6,1.5,-6.1,-1.7
2039,41689,6.7,15.1,-3.5,4.7
2039,41690,9.6,18.7,4,9.7
2039,41691,3.9,10.8,1.6,6.9
2039,41692,8,16.6,3.6,10
2039,41693,8,16.9,1,9.5
2039,41694,7.6,19.5,5.1,11.1
2039,41695,-2.2,9.8,-2.4,5.3
2039,41696,-1.4,4.6,-3.7,-0.5
2039,41697,-5.3,4.5,-5.8,-0.6
2039,41698,-6.4,7.2,-7.7,-1
2039,41699,-6.8,-1.3,-11.6,-6.4
2039,41700,5.7,8.4,-10,-0.2
2039,41701,2.6,17.6,1.2,6.6
2039,41702,-11.9,2.6,-12.9,-6.1
2039,41703,-7.6,-2.3,-15.6,-8.4
2039,41704,-0.1,5.3,-8.9,-1.5
2039,41705,-2,1,-4.8,-1.8
2039,41706,0.3,5.1,-3,0.6
2039,41707,9.5,18.4,-3,8
2039,41708,5,13.6,4.5,9
2039,41709,11,16.8,1,8.9
2039,41710,11.8,23,10.1,16.2
2039,41711,0.7,17.4,0.6,10.7
2039,41712,-5.2,1.8,-5.2,-1.5
2039,41713,9,15.5,-5.9,6
2039,41714,11.2,19.5,6,12.5
2039,41715,-2.8,11.2,-2.8,3.2
2039,41716,-3.1,-2.6,-4.7,-3.5
2039,41717,1.9,3.1,-3.2,0.3
2039,41718,5,5.9,0.6,3.1
2039,41719,3.7,14.9,3.4,9.4
2039,41720,6.4,19.7,0.4,9.2
2039,41721,10.2,21.7,4,12.6
2039,41722,0.5,10.4,0.5,5.4
2039,41723,-2,5.7,-5.4,0.1
2039,41724,-3.8,0.1,-4.2,-1.8
2039,41725,-4.5,2.6,-4.5,-1.2
2039,41726,7.8,11.6,-7,3
2039,41727,14.7,18.7,7.2,12.6
2039,41728,9.8,15.1,9.8,12.6
2039,41729,8,9.8,4.6,7.5
2039,41730,12.4,20.7,6.4,12.7
2039,41731,10.3,20.9,4.8,12.9
2039,41732,12.9,21.8,8,15.3
2039,41733,12.6,19.5,10.2,14.8
2039,41734,15,17.3,9,12.4
2039,41735,6.2,17.7,6.2,12.7
2039,41736,8.1,15.2,2.2,8.9
2039,41737,7,8.2,3.4,5.9
2039,41738,8.3,17.9,7,12.5
2039,41739,8.2,18,6.8,12.7
2039,41740,16.2,21.4,2.2,14.1
2039,41741,14.1,26.4,13.2,19.4
2039,41742,15.9,24.6,11.5,18.4
2039,41743,19.7,27.5,10.2,20
2039,41744,19.5,23.2,16.2,20.2
2039,41745,1.4,19.5,1.4,12.6
2039,41746,2.3,8.6,-1,3.7
2039,41747,3.8,13.8,-0.1,6.8
2039,41748,7.6,13.7,1,7.2
2039,41749,11.4,18.5,4.8,12.1
2039,41750,7.6,18.6,7.6,12.4
2039,41751,13.1,22.5,2.9,12.9
2039,41752,14.4,23.8,9,17.5
2039,41753,9.4,16.7,8.9,12.8
2039,41754,9.9,18.7,3.2,11.3
2039,41755,11.9,15.7,7,11.7
2039,41756,16.4,24.7,6.6,17.4
2039,41757,10.9,21.2,9.4,15.1
2039,41758,8.6,15.7,8.6,10.9
2039,41759,9.1,10.4,8,9
2039,41760,14.5,14.6,8.8,11.4
2039,41761,13.9,24.2,13.4,18.7
2039,41762,12.7,20.6,9.6,15.8
2039,41763,16.3,22.2,11,16.5
2039,41764,13.8,25.9,9,19
2039,41765,10.7,16.5,7.4,12.4
2039,41766,13.8,23.3,10.3,15.9
2039,41767,15.8,23.9,12.7,17.8
2039,41768,18.4,31.1,14.6,22.9
2039,41769,21.4,29.9,16,22.2
2039,41770,19.6,23,17.9,20.4
2039,41771,18.9,27.3,13,21
2039,41772,18.6,30.2,14.2,21.5
2039,41773,18.4,32.5,16.4,23.8
