mortonOrder,plotID,siteID,nlcdClass,plotType,subtype,applicableModules
71,ONAQ_006,ONAQ,evergreenForest,distributed,basePlot,bet|bgc|cdw|dhp|div|hbp|vst
87,ONAQ_008,ONAQ,evergreenForest,distributed,basePlot,bet|bgc|cdw|dhp|div|hbp|sme|vst
119,ONAQ_010,ONAQ,evergreenForest,distributed,basePlot,bet|bgc|cdw|dhp|div|hbp|vst
135,ONAQ_012,ONAQ,evergreenForest,distributed,basePlot,bet|bgc|cdw|dhp|div|hbp|vst
247,ONAQ_017,ONAQ,evergreenForest,distributed,basePlot,bet|bgc|cdw|dhp|div|hbp|vst
327,ONAQ_021,ONAQ,evergreenForest,distributed,basePlot,bet|cdw|dhp|div|hbp|vst
375,ONAQ_023,ONAQ,evergreenForest,distributed,basePlot,bet|cdw|dhp|div|hbp|vst
427,ONAQ_025,ONAQ,evergreenForest,distributed,basePlot,bet|cdw|dhp|div|hbp|vst
583,ONAQ_028,ONAQ,evergreenForest,distributed,basePlot,bet|cdw|dhp|div|hbp|vst
595,ONAQ_029,ONAQ,evergreenForest,distributed,basePlot,div
759,ONAQ_030,ONAQ,evergreenForest,distributed,basePlot,div
791,ONAQ_031,ONAQ,evergreenForest,distributed,basePlot,div
939,ONAQ_032,ONAQ,evergreenForest,distributed,basePlot,div
19,ONAQ_002,ONAQ,shrubScrub,distributed,basePlot,bet|bgc|cdw|dhp|div|hbp|sme|vst
35,ONAQ_003,ONAQ,shrubScrub,distributed,basePlot,bet|bgc|cdw|dhp|div|hbp|sme|vst
51,ONAQ_004,ONAQ,shrubScrub,distributed,basePlot,bet|bgc|cdw|dhp|div|hbp|vst
67,ONAQ_005,ONAQ,shrubScrub,distributed,basePlot,bet|bgc|cdw|dhp|div|hbp|vst
83,ONAQ_007,ONAQ,shrubScrub,distributed,basePlot,bet|bgc|cdw|dhp|div|hbp|vst
115,ONAQ_009,ONAQ,shrubScrub,distributed,basePlot,bet|cdw|dhp|div|hbp|vst
127,ONAQ_011,ONAQ,shrubScrub,distributed,basePlot,bet|cdw|dhp|div|hbp|vst
147,ONAQ_014,ONAQ,shrubScrub,distributed,basePlot,bet|cdw|dhp|div|hbp|vst
191,ONAQ_015,ONAQ,shrubScrub,distributed,basePlot,bet|cdw|dhp|div|hbp|vst
243,ONAQ_016,ONAQ,shrubScrub,distributed,basePlot,bet|cdw|dhp|div|hbp|vst
291,ONAQ_018,ONAQ,shrubScrub,distributed,basePlot,bet|cdw|dhp|div|hbp|vst
307,ONAQ_019,ONAQ,shrubScrub,distributed,basePlot,div
323,ONAQ_020,ONAQ,shrubScrub,distributed,basePlot,div
371,ONAQ_022,ONAQ,shrubScrub,distributed,basePlot,div
407,ONAQ_024,ONAQ,shrubScrub,distributed,basePlot,div
435,ONAQ_026,ONAQ,shrubScrub,distributed,basePlot,div
563,ONAQ_027,ONAQ,shrubScrub,distributed,basePlot,div
71,ONAQ_006,ONAQ,evergreenForest,distributed,birdGrid,brd
87,ONAQ_008,ONAQ,evergreenForest,distributed,birdGrid,brd
247,ONAQ_017,ONAQ,evergreenForest,distributed,birdGrid,brd
