"uid","domainID","siteID","plotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","addDate","dropDate","identifiedDate","individualID","taxonID","scientificName","identificationQualifier","taxonRank","growthForm","samplingProtocol","measuredBy","identifiedBy","recordedBy","remarks","duplicateIndividualIDQF"
"FCA6A9471B3A405BA65C3DFBA138E2D1","D02","SCBI","SCBI_060",,,,,,,"2014-06-07",,"2014-06-07","NEON.PLA.D02.SCBI.06043","MIVI","Microstegium vimineum (Trin.) A. Camus",,"species","Graminoid","NEON.DOC.014040","+oMcon12yHBVomk9A4wem4se3xH13+K2","+oMcon12yHBVomk9A4wem4se3xH13+K2","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,1
"A0B4A49881BF4F10B957CF6144F7C94E","D02","SCBI","SCBI_060",,,,,,,"2014-06-07",,"2014-06-07","NEON.PLA.D02.SCBI.06045","MIVI","Microstegium vimineum (Trin.) A. Camus",,"species","Graminoid","NEON.DOC.014040","+oMcon12yHBVomk9A4wem4se3xH13+K2","+oMcon12yHBVomk9A4wem4se3xH13+K2","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,1
"A99BB83887524C51A53EAB45FB4C3164","D02","SCBI","SCBI_060",,,,,,,"2014-06-07",,"2014-06-07","NEON.PLA.D02.SCBI.06047","LITU","Liriodendron tulipifera L.",,"species","Deciduous broadleaf","NEON.DOC.014040","+oMcon12yHBVomk9A4wem4se3xH13+K2","+oMcon12yHBVomk9A4wem4se3xH13+K2","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,1
"55A486B7A73B436F8E05768C7F1AF190","D02","SCBI","SCBI_060",,,,,,,"2014-06-07",,"2014-06-07","NEON.PLA.D02.SCBI.06049","MIVI","Microstegium vimineum (Trin.) A. Camus",,"species","Graminoid","NEON.DOC.014040","+oMcon12yHBVomk9A4wem4se3xH13+K2","+oMcon12yHBVomk9A4wem4se3xH13+K2","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,1
"3F170769D3814A40AB0E0F145BDA83F9","D02","SCBI","SCBI_060",,,,,,,"2014-06-07",,"2014-06-07","NEON.PLA.D02.SCBI.06051","MIVI","Microstegium vimineum (Trin.) A. Camus",,"species","Graminoid","NEON.DOC.014040","+oMcon12yHBVomk9A4wem4se3xH13+K2","+oMcon12yHBVomk9A4wem4se3xH13+K2","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,1
"3C85A24B2063493DB1D24CDDB0E9B5D7","D02","SCBI","SCBI_060",,,,,,,"2014-06-07",,"2014-06-07","NEON.PLA.D02.SCBI.06053","MIVI","Microstegium vimineum (Trin.) A. Camus",,"species","Graminoid","NEON.DOC.014040","+oMcon12yHBVomk9A4wem4se3xH13+K2","+oMcon12yHBVomk9A4wem4se3xH13+K2","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,1
"828D3DFE2B224064AF0321E37570A0A1","D02","SCBI","SCBI_060",,,,,,,"2014-06-07",,"2014-06-07","NEON.PLA.D02.SCBI.06056","LITU","Liriodendron tulipifera L.",,"species","Deciduous broadleaf","NEON.DOC.014040","+oMcon12yHBVomk9A4wem4se3xH13+K2","+oMcon12yHBVomk9A4wem4se3xH13+K2","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,1
"E2F99187AB6042009EE56C107487F8DD","D02","SCBI","SCBI_060",,,,,,,"2014-06-07",,"2014-06-07","NEON.PLA.D02.SCBI.06058","MIVI","Microstegium vimineum (Trin.) A. Camus",,"species","Graminoid","NEON.DOC.014040","+oMcon12yHBVomk9A4wem4se3xH13+K2","+oMcon12yHBVomk9A4wem4se3xH13+K2","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,1
"CAA0F0F4EE9445698E28AF8EFB46A561","D02","SCBI","SCBI_060",,,,,,,"2014-06-07",,"2014-06-07","NEON.PLA.D02.SCBI.06060","LITU","Liriodendron tulipifera L.",,"species","Deciduous broadleaf","NEON.DOC.014040","+oMcon12yHBVomk9A4wem4se3xH13+K2","+oMcon12yHBVomk9A4wem4se3xH13+K2","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,1
"D38256C5CC83473D90E1F07E047125FC","D02","SCBI","SCBI_060",,,,,,,"2014-06-07",,"2014-06-07","NEON.PLA.D02.SCBI.06062","LITU","Liriodendron tulipifera L.",,"species","Deciduous broadleaf","NEON.DOC.014040","+oMcon12yHBVomk9A4wem4se3xH13+K2","+oMcon12yHBVomk9A4wem4se3xH13+K2","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,1
