"uid","domainID","siteID","plotID","date","individualID","patchOrIndividual","canopyPosition","plantStatus","stemDiameter","measurementHeight","maxCanopyDiameter","ninetyCanopyDiameter","percentCover","height","adultLeafLength","diseaseStatus","diseaseType","samplingProtocol","measuredBy","recordedBy","remarks","duplicateIndividualYearQF","missingRecordsIndividPerYearQF"
"D30A5B1A0D964683B264B6A3DD47FBDE","D05","UNDE","UNDE_063","2014-10-22","NEON.PLA.D05.UNDE.06062","Individual","Dominant","live",33.0,130.0,8.2,7.3,,14.6,,,,"NEON.DOC.014040","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,0,0
"7F304B4889414FCF9ED1F2E819DB173F","D05","UNDE","UNDE_063","2014-10-22","NEON.PLA.D05.UNDE.06019","Individual","Overtopped","live",8.2,130.0,5.0,4.5,,10.2,,,,"NEON.DOC.014040","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,0,0
"5BB041F245504ABB84480914CF8AD354","D05","UNDE","UNDE_063","2014-10-22","NEON.PLA.D05.UNDE.06069","Individual","Open Grown","live",30.7,130.0,6.2,5.3,,18.7,,,,"NEON.DOC.014040","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,0,0
"00CF0D6DED4847FCAFE99FF05303C41C","D05","UNDE","UNDE_063","2014-10-22","NEON.PLA.D05.UNDE.06067","Individual","Intermediate","live",7.1,122.0,5.1,4.5,,9.3,,,,"NEON.DOC.014040","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,0,0
"2428811B086F4266B67353B49342A7B5","D05","UNDE","UNDE_063","2014-10-22","NEON.PLA.D05.UNDE.06022","Individual","Co-dominant","live",20.5,130.0,7.0,3.4,,17.2,,,,"NEON.DOC.014040","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,0,0
"C48E56EC763B4D659F2B4A8FF48E5B53","D05","UNDE","UNDE_063","2014-10-22","NEON.PLA.D05.UNDE.06064","Individual","Co-dominant","live",16.1,130.0,7.9,5.2,,14.8,,,,"NEON.DOC.014040","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,0,0
"D1D9940FA3CE4A31A9EC7220D88DA151","D05","UNDE","UNDE_063","2014-10-22","NEON.PLA.D05.UNDE.06024","Individual","Dominant","live",36.5,130.0,11.9,7.4,,17.9,,,,"NEON.DOC.014040","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,0,0
"DA419AB1382F4BF7981731E948F684F2","D05","UNDE","UNDE_063","2014-10-22","NEON.PLA.D05.UNDE.06011","Individual","Co-dominant","live",30.8,130.0,6.4,6.2,,15.1,,,,"NEON.DOC.014040","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,0,0
"B7FC224D19C640B195659F34CC7718E0","D05","UNDE","UNDE_063","2014-10-22","NEON.PLA.D05.UNDE.06020","Individual","Dominant","live",34.5,130.0,9.5,6.7,,18.9,,,,"NEON.DOC.014040","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,0,0
"63DBCA17EA7A4BD2A91E41AC92D4FF43","D05","UNDE","UNDE_063","2014-10-22","NEON.PLA.D05.UNDE.06025","Individual","Dominant","live",38.9,130.0,11.1,10.2,,16.9,,,,"NEON.DOC.014040","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,0,0
"4BBB2F552D9D4AA18FA88A9CDE37D79E","D05","UNDE","UNDE_063","2014-10-22","NEON.PLA.D05.UNDE.06021","Individual","Co-dominant","live",30.9,130.0,12.2,6.3,,21.2,,,,"NEON.DOC.014040","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,0,0
"BF5DDB380B7C4DA4AA6D8D2B11C5E455","D05","UNDE","UNDE_063","2014-10-22","NEON.PLA.D05.UNDE.06013","Individual","Open Grown","live",59.7,130.0,16.3,13.6,,23.0,,,,"NEON.DOC.014040","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,0,0
"7E8967ED1A3F40CAAF5C5D565C3BC2D9","D05","UNDE","UNDE_063","2014-10-22","NEON.PLA.D05.UNDE.06005","Individual","Co-dominant","live",22.2,130.0,7.2,5.4,,16.8,,,,"NEON.DOC.014040","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,0,0
"CB0B2630F41848218F55614B19387EBC","D05","UNDE","UNDE_063","2014-10-22","NEON.PLA.D05.UNDE.06052","Individual","Intermediate","live",16.6,130.0,6.6,6.1,,16.6,,,,"NEON.DOC.014040","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,0,0
"2802268BD82D4B99B8CCAAC8FF1B4429","D05","UNDE","UNDE_063","2014-10-22","NEON.PLA.D05.UNDE.06050","Individual","Overtopped","live",2.5,130.0,2.8,2.6,,4.4,,,,"NEON.DOC.014040","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,0,0
