"uid","domainID","siteID","plotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","addDate","dropDate","identifiedDate","individualID","taxonID","scientificName","identificationQualifier","taxonRank","growthForm","samplingProtocol","measuredBy","identifiedBy","recordedBy","remarks","duplicateIndividualIDQF"
"5378D74DE5984262B7B1208E1064D1F9","D07","ORNL","ORNL_064",,,,,,,"2014-07-25",,"2014-07-25","NEON.PLA.D07.ORNL.06010","VAPA4","Vaccinium pallidum Aiton",,"species","Deciduous broadleaf","NEON.DOC.014040","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ",,0
"D30847DE9AB54095B0E5BB1DE578A147","D07","ORNL","ORNL_064",,,,,,,"2014-07-25",,"2014-07-25","NEON.PLA.D07.ORNL.06005","VAPA4","Vaccinium pallidum Aiton",,"species","Deciduous broadleaf","NEON.DOC.014040","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ",,0
"46B68F10C0204CABAF1C65BDC6975B56","D07","ORNL","ORNL_064",,,,,,,"2014-07-25",,"2014-07-25","NEON.PLA.D07.ORNL.06020","LITU","Liriodendron tulipifera L.",,"species","Deciduous broadleaf","NEON.DOC.014040","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ",,0
"F2D7184A2BE74856A793A962423E5D8A","D07","ORNL","ORNL_064",,,,,,,"2014-07-25",,"2014-07-25","NEON.PLA.D07.ORNL.06001","VAPA4","Vaccinium pallidum Aiton",,"species","Deciduous broadleaf","NEON.DOC.014040","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ",,0
"8B9D7AB18BC748DE882C3BFCB0583AC9","D07","ORNL","ORNL_064",,,,,,,"2014-07-25",,"2014-07-25","NEON.PLA.D07.ORNL.06019","LITU","Liriodendron tulipifera L.",,"species","Deciduous broadleaf","NEON.DOC.014040","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ",,0
"7F26F66A33D145DF8AA68F5AE9C4AE57","D07","ORNL","ORNL_064",,,,,,,"2014-07-25",,"2014-07-25","NEON.PLA.D07.ORNL.06013","LITU","Liriodendron tulipifera L.",,"species","Deciduous broadleaf","NEON.DOC.014040","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ",,0
"283A713D6C3749F4839AAD31E24E33E4","D07","ORNL","ORNL_064",,,,,,,"2014-07-25",,"2014-07-25","NEON.PLA.D07.ORNL.06004","VAPA4","Vaccinium pallidum Aiton",,"species","Deciduous broadleaf","NEON.DOC.014040","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ",,0
"4ED8439250E04F99A04DB1A99B593542","D07","ORNL","ORNL_064",,,,,,,"2014-07-25",,"2014-07-25","NEON.PLA.D07.ORNL.06003","VAPA4","Vaccinium pallidum Aiton",,"species","Deciduous broadleaf","NEON.DOC.014040","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ",,0
"7CF1DBAC724540ECA8A5DC6CB7F49FA8","D07","ORNL","ORNL_064",,,,,,,"2014-07-25",,"2014-07-25","NEON.PLA.D07.ORNL.06007","LITU","Liriodendron tulipifera L.",,"species","Deciduous broadleaf","NEON.DOC.014040","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ",,0
"E117C97A22B94199BD17C316183EFE8A","D07","ORNL","ORNL_064",,,,,,,"2014-07-25",,"2014-07-25","NEON.PLA.D07.ORNL.06014","LITU","Liriodendron tulipifera L.",,"species","Deciduous broadleaf","NEON.DOC.014040","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ",,0
"971A815396934BCF9E9DC0DF997C861A","D07","ORNL","ORNL_064",,,,,,,"2014-07-25",,"2014-07-25","NEON.PLA.D07.ORNL.06017","LITU","Liriodendron tulipifera L.",,"species","Deciduous broadleaf","NEON.DOC.014040","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ",,0
"8DE67A3400AC41C89A76FA927BB55C6B","D07","ORNL","ORNL_064",,,,,,,"2014-07-25",,"2014-07-25","NEON.PLA.D07.ORNL.06023","LITU","Liriodendron tulipifera L.",,"species","Deciduous broadleaf","NEON.DOC.014040","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ",,1
"E758AEE01CDE4C88A90D11FD3E2049AB","D07","ORNL","ORNL_064",,,,,,,"2014-07-25",,"2014-07-25","NEON.PLA.D07.ORNL.06027","VAPA4","Vaccinium pallidum Aiton",,"species","Deciduous broadleaf","NEON.DOC.014040","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ",,0
"AD6FE62B68DE4184BD5F3CF5859ABC66","D07","ORNL","ORNL_064",,,,,,,"2014-07-25",,"2014-07-25","NEON.PLA.D07.ORNL.06031","LITU","Liriodendron tulipifera L.",,"species","Deciduous broadleaf","NEON.DOC.014040","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ",,0
"8817C42FB3394C049DBFBC22FE23BAEC","D07","ORNL","ORNL_064",,,,,,,"2014-07-25",,"2014-07-25","NEON.PLA.D07.ORNL.06040","VAPA4","Vaccinium pallidum Aiton",,"species","Deciduous broadleaf","NEON.DOC.014040","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ",,0
