"fieldName","description","dataType","units","downloadPkg"
"PARMean","Arithmetic mean of photosynthetically active radiation","real","micromolesPerSquareMeterPerSecond","basic"
"PARMinimum","Minimum photosynthetically active radiation","real","micromolesPerSquareMeterPerSecond","basic"
"PARMaximum","Maximum photosynthetically active radiation","real","micromolesPerSquareMeterPerSecond","basic"
"PARVariance","Variance in photosynthetically active radiation","real","micromolesPerSquareMeterPerSecondSquared","basic"
"PARNumPts","Number of points used to calculate the arithmetic mean of photosynthetically active radiation","real",NA,"basic"
"PARExpUncert","Expanded uncertainty for photosynthetically active radiation","real","micromolesPerSquareMeterPerSecond","basic"
"PARStdErMean","Standard error of the mean for photosynthetically active radiation","real","micromolesPerSquareMeterPerSecond","basic"
"PARRangeQAQCRpt","photosynthetically active radiation quality assurance and quality control report for the range test, which indicates whether a datum exceeds a realisitc value, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e,couldn't be run)","real",NA,"request"
"PARPersistenceQAQCRpt","photosynthetically active radiation quality assurance and quality control report for the persistence test, which indicates  whether there is a realistic fluctuation of values over a designated period of time, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e,couldn't be run))","real",NA,"request"
"PARStepQAQCRpt","photosynthetically active radiation quality assurance and quality control report for the step test, which indicates whether unusual jumps in the data exist, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e,couldn't be run))","real",NA,"request"
"PARNullQAQCRpt","photosynthetically active radiation quality assurance and quality control report for the null test, which indicates a missing datum, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e,couldn't be run)","real",NA,"request"
"PARGapQAQCRpt","photosynthetically active radiation quality assurance and quality control report for the gap test, which indicates that the datum is missing and is apart of a prolonged period of missing data, detailed in NEON.DOC.011081 (1=fail, 0=pass)","real",NA,"request"
"PARConsistencyQAQCRpt","photosynthetically active radiation quality assurance and quality control report for the consistency test, which indicates whether or not measurements are consistent with co-located measurements, (1=fail, 0=pass, -1=NA (i.e,couldn't be run))","real",NA,"request"
"PARSpikeQAQCRpt","photosynthetically active radiation quality assurance and quality control report for the spike test, which indicates whether or not a datum has been identified as a spike, detailed in NEON.DOC.000783 (1=fail, 0=pass, -1=NA (i.e,couldn't be run))","real",NA,"request"
"PARAlphaQAQCRpt","photosynthetically active radiation quality assurance and quality control report for the alpha quality flag, which indicates if one or more quality analysis failed for a datum, detailed in NEON.DOC.001113 (1=fail, 0=pass, -1=NA (i.e,couldn't be run))","real",NA,"request"
"PARBetaQAQCRpt","photosynthetically active radiation quality assurance and quality control report for the beta quality flag, which indicates if one or more quality analysis could not be run for a datum, detailed in NEON.DOC.001113 (1=fail, 0=pass, -1=NA (i.e,couldn't be run))","real",NA,"request"
"PARRangeFailQM","photosynthetically active radiation quality metric that summarizes the failed outcomes of the range test over the averaging period, as a percent","real","percent","expanded"
"PARRangePassQM","photosynthetically active radiation quality metric that summarizes the passed outcomes of the range test over the averaging period, as a percent","real","percent","expanded"
"PARRangeNAQM","photosynthetically active radiation quality metric that summarizes when the range test could not be run over the averaging period, as a percent","real","percent","expanded"
"PARPersistenceFailQM","photosynthetically active radiation quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent","real","percent","expanded"
"PARPersistencePassQM","photosynthetically active radiation quality metric that summarizes the passed outcomes of the persistence test over the averaging period, as a percent","real","percent","expanded"
"PARPersistenceNAQM","photosynthetically active radiation quality metric that summarizes when the persistence test could not be run over the averaging period, as a percent","real","percent","expanded"
"PARStepFailQM","photosynthetically active radiation quality metric that summarizes the failed outcomes of the step test over the averaging period, as a percent","real","percent","expanded"
"PARStepPassQM","photosynthetically active radiation quality metric that summarizes the passed outcomes of the step test over the averaging period, as a percent","real","percent","expanded"
"PARStepNAQM","photosynthetically active radiation quality metric that summarizes when the step test could not be run over the averaging period, as a percent","real","percent","expanded"
"PARNullFailQM","photosynthetically active radiation quality metric that summarizes the failed outcomes of the null test over the averaging period, as a percent","real","percent","expanded"
"PARNullPassQM","photosynthetically active radiation quality metric that summarizes the passed outcomes of the null test over the averaging period, as a percent","real","percent","expanded"
"PARNullNAQM","photosynthetically active radiation quality metric that summarizes when the null test could not be run over the averaging period, as a percent","real","percent","expanded"
"PARGapFailQM","photosynthetically active radiation quality metric that summarizes the failed outcomes of the gap test over the averaging period, as a percent","real","percent","expanded"
"PARGapPassQM","photosynthetically active radiation quality metric that summarizes the passed outcomes of the gap test over the averaging period, as a percent","real","percent","expanded"
"PARGapNAQM","photosynthetically active radiation quality metric that summarizes when the gap test could not be run over the averaging period, as a percent","real","percent","expanded"
"PARSpikeFailQM","photosynthetically active radiation quality metric that summarizes the failed outcomes of the spike test over the averaging period, as a percent","real","percent","expanded"
"PARSpikePassQM","photosynthetically active radiation quality metric that summarizes the passed outcomes of the spike test over the averaging period, as a percent","real","percent","expanded"
"PARSpikeNAQM","photosynthetically active radiation quality metric that summarizes when the spike test could not be run over the averaging period, as a percent","real","percent","expanded"
"PARConsistencyFailQM","photosynthetically active radiation quality metric that summarizes the failed outcomes of the consistency test over the averaging period, as a percent","real","percent","expanded"
"PARConsistencyPassQM","photosynthetically active radiation quality metric that summarizes the passed outcomes of the consistency test over the averaging period, as a percent","real","percent","expanded"
"PARConsistencyNAQM","photosynthetically active radiation quality metric that summarizes when the consistency test could not be run over the averaging period, as a percent","real","percent","expanded"
"PARAlphaQM","photosynthetically active radiation quality metric detailing the outcomes of the alpha quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113","real","percent","expanded"
"PARBetaQM","photosynthetically active radiation quality metric detailing the outcomes of the beta quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113","real","percent","expanded"
"PARFinalQF","photosynthetically active radiation quality flag indicating whether a data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)","real",NA,"basic"
"outPARMean","Arithmetic mean of outgoing photosynthetically active radiation","real","micromolesPerSquareMeterPerSecond","basic"
"outPARMinimum","Minimum outgoing photosynthetically active radiation","real","micromolesPerSquareMeterPerSecond","basic"
"outPARMaximum","Maximum outgoing photosynthetically active radiation","real","micromolesPerSquareMeterPerSecond","basic"
"outPARVariance","Variance in outgoing photosynthetically active radiation","real","micromolesPerSquareMeterPerSecondSquared","basic"
"outPARNumPts","Number of points used to calculate the arithmetic mean of outgoing photosynthetically active radiation","real",NA,"basic"
"outPARExpUncert","Expanded uncertainty for outgoing photosynthetically active radiation","real","micromolesPerSquareMeterPerSecond","basic"
"outPARStdErMean","Standard error of the mean for outgoing photosynthetically active radiation","real","micromolesPerSquareMeterPerSecond","basic"
"outPARRangeQAQCRpt","outgoing photosynthetically active radiation quality assurance and quality control report for the range test, which indicates whether a datum exceeds a realisitc value, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e,couldn't be run)","real",NA,"request"
"outPARPersistenceQAQCRpt","outgoing photosynthetically active radiation quality assurance and quality control report for the persistence test, which indicates  whether there is a realistic fluctuation of values over a designated period of time, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e,couldn't be run))","real",NA,"request"
"outPARStepQAQCRpt","outgoing photosynthetically active radiation quality assurance and quality control report for the step test, which indicates whether unusual jumps in the data exist, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e,couldn't be run))","real",NA,"request"
"outPARNullQAQCRpt","outgoing photosynthetically active radiation quality assurance and quality control report for the null test, which indicates a missing datum, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e,couldn't be run)","real",NA,"request"
"outPARGapQAQCRpt","outgoing photosynthetically active radiation quality assurance and quality control report for the gap test, which indicates that the datum is missing and is apart of a prolonged period of missing data, detailed in NEON.DOC.011081 (1=fail, 0=pass)","real",NA,"request"
"outPARConsistencyQAQCRpt","outgoing photosynthetically active radiation quality assurance and quality control report for the consistency test, which indicates whether or not measurements are consistent with co-located measurements, (1=fail, 0=pass, -1=NA (i.e,couldn't be run))","real",NA,"request"
"outPARSpikeQAQCRpt","outgoing photosynthetically active radiation quality assurance and quality control report for the spike test, which indicates whether or not a datum has been identified as a spike, detailed in NEON.DOC.000783 (1=fail, 0=pass, -1=NA (i.e,couldn't be run))","real",NA,"request"
"outPARAlphaQAQCRpt","outgoing photosynthetically active radiation quality assurance and quality control report for the alpha quality flag, which indicates if one or more quality analysis failed for a datum, detailed in NEON.DOC.001113 (1=fail, 0=pass, -1=NA (i.e,couldn't be run))","real",NA,"request"
"outPARBetaQAQCRpt","outgoing photosynthetically active radiation quality assurance and quality control report for the beta quality flag, which indicates if one or more quality analysis could not be run for a datum, detailed in NEON.DOC.001113 (1=fail, 0=pass, -1=NA (i.e,couldn't be run))","real",NA,"request"
"outPARRangeFailQM","outgoing photosynthetically active radiation quality metric that summarizes the failed outcomes of the range test over the averaging period, as a percent","real","percent","expanded"
"outPARRangePassQM","outgoing photosynthetically active radiation quality metric that summarizes the passed outcomes of the range test over the averaging period, as a percent","real","percent","expanded"
"outPARRangeNAQM","outgoing photosynthetically active radiation quality metric that summarizes when the range test could not be run over the averaging period, as a percent","real","percent","expanded"
"outPARPersistenceFailQM","outgoing photosynthetically active radiation quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent","real","percent","expanded"
"outPARPersistencePassQM","outgoing photosynthetically active radiation quality metric that summarizes the passed outcomes of the persistence test over the averaging period, as a percent","real","percent","expanded"
"outPARPersistenceNAQM","outgoing photosynthetically active radiation quality metric that summarizes when the persistence test could not be run over the averaging period, as a percent","real","percent","expanded"
"outPARStepFailQM","outgoing photosynthetically active radiation quality metric that summarizes the failed outcomes of the step test over the averaging period, as a percent","real","percent","expanded"
"outPARStepPassQM","outgoing photosynthetically active radiation quality metric that summarizes the passed outcomes of the step test over the averaging period, as a percent","real","percent","expanded"
"outPARStepNAQM","outgoing photosynthetically active radiation quality metric that summarizes when the step test could not be run over the averaging period, as a percent","real","percent","expanded"
"outPARNullFailQM","outgoing photosynthetically active radiation quality metric that summarizes the failed outcomes of the null test over the averaging period, as a percent","real","percent","expanded"
"outPARNullPassQM","outgoing photosynthetically active radiation quality metric that summarizes the passed outcomes of the null test over the averaging period, as a percent","real","percent","expanded"
"outPARNullNAQM","outgoing photosynthetically active radiation quality metric that summarizes when the null test could not be run over the averaging period, as a percent","real","percent","expanded"
"outPARGapFailQM","outgoing photosynthetically active radiation quality metric that summarizes the failed outcomes of the gap test over the averaging period, as a percent","real","percent","expanded"
"outPARGapPassQM","outgoing photosynthetically active radiation quality metric that summarizes the passed outcomes of the gap test over the averaging period, as a percent","real","percent","expanded"
"outPARGapNAQM","outgoing photosynthetically active radiation quality metric that summarizes when the gap test could not be run over the averaging period, as a percent","real","percent","expanded"
"outPARSpikeFailQM","outgoing photosynthetically active radiation quality metric that summarizes the failed outcomes of the spike test over the averaging period, as a percent","real","percent","expanded"
"outPARSpikePassQM","outgoing photosynthetically active radiation quality metric that summarizes the passed outcomes of the spike test over the averaging period, as a percent","real","percent","expanded"
"outPARSpikeNAQM","outgoing photosynthetically active radiation quality metric that summarizes when the spike test could not be run over the averaging period, as a percent","real","percent","expanded"
"outPARConsistencyFailQM","outgoing photosynthetically active radiation quality metric that summarizes the failed outcomes of the consistency test over the averaging period, as a percent","real","percent","expanded"
"outPARConsistencyPassQM","outgoing photosynthetically active radiation quality metric that summarizes the passed outcomes of the consistency test over the averaging period, as a percent","real","percent","expanded"
"outPARConsistencyNAQM","outgoing photosynthetically active radiation quality metric that summarizes when the consistency test could not be run over the averaging period, as a percent","real","percent","expanded"
"outPARAlphaQM","outgoing photosynthetically active radiation quality metric detailing the outcomes of the alpha quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113","real","percent","expanded"
"outPARBetaQM","outgoing photosynthetically active radiation quality metric detailing the outcomes of the beta quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113","real","percent","expanded"
"outPARFinalQF","outgoing photosynthetically active radiation quality flag indicating whether a data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)","real",NA,"basic"
