"uid","domainID","siteID","plotID","date","individualID","patchOrIndividual","canopyPosition","plantStatus","stemDiameter","measurementHeight","maxCanopyDiameter","ninetyCanopyDiameter","percentCover","height","adultLeafLength","diseaseStatus","diseaseType","samplingProtocol","measuredBy","recordedBy","remarks","duplicateIndividualYearQF","missingRecordsIndividPerYearQF"
"A8B275A16AD34185BB352F37F07ED0A7","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06041","Patch","Overtopped","live",,,,,45,0.4,,"healthy",,"NEON.DOC.014040","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0,0
"DE19228F8D1044029D98D02A8720CA8A","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06046","Patch","Overtopped","live",,,,,65,0.5,,"healthy",,"NEON.DOC.014040","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0,0
"F91E6A4EA1D64F11849D4B4552B51F0E","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06059","Patch","Overtopped","live",,,,,45,0.2,,"healthy",,"NEON.DOC.014040","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0,0
"8BE8D32334E645E1B5F87AA62F9E3C6A","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06045","Patch","Overtopped","live",,,,,40,0.4,,"healthy",,"NEON.DOC.014040","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0,0
"675459583B124F5482EA0EE03D1E5CE1","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06044","Patch","Overtopped","live",,,,,80,0.3,,"healthy",,"NEON.DOC.014040","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0,0
"0CA5D06CA00044DE92BE29D59AEC521E","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06097","Patch","Overtopped","live",,,,,40,0.2,,"healthy",,"NEON.DOC.014040","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0,0
"56F5FF4184864A708D2FE672A6B17D3A","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06048","Patch","Overtopped","live",,,,,55,0.4,,"healthy",,"NEON.DOC.014040","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0,0
"B5EB6F2F7B5B4BD0B0614D86D3A5ACDF","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06049","Patch","Overtopped","live",,,,,40,0.4,,"healthy",,"NEON.DOC.014040","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0,0
"0779903E1DE74A509D8DAC299140959C","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06098","Patch","Overtopped","live",,,,,50,0.3,,"healthy",,"NEON.DOC.014040","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0,0
"E41C151F1D5C4FE7AE32B0C48B8A1AE1","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06095","Patch","Overtopped","live",,,,,60,0.3,,"healthy",,"NEON.DOC.014040","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0,0
"84777928CF8B49FB8662F3046BB206FA","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06096","Patch","Overtopped","live",,,,,55,0.3,,"healthy",,"NEON.DOC.014040","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0,0
"6AFBB33798F247B38C69873A90CA6B6E","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06099","Patch","Overtopped","live",,,,,70,0.5,,"healthy",,"NEON.DOC.014040","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0,0
"5648C0C867FC4A3BA49D2FB36A50D585","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06094","Patch","Overtopped","live",,,,,85,0.4,,"healthy",,"NEON.DOC.014040","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0,0
"9D5CCE356DEB445D81F30D714B75ABD8","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06091","Patch","Overtopped","live",,,,,60,0.4,,"healthy",,"NEON.DOC.014040","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0,0
"EBDE915FCE504FA28D9E0BC07918C7F5","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06050","Patch","Overtopped","live",,,,,70,0.3,,"healthy",,"NEON.DOC.014040","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0,0
"6C25DF2A5BE94756AA435B7CD9049A01","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06052","Patch","Overtopped","live",,,,,35,0.2,,"healthy",,"NEON.DOC.014040","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0,0
"C8128D03102340B9AD219FB2FC9AE12D","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06051","Patch","Overtopped","live",,,,,90,0.4,,"healthy",,"NEON.DOC.014040","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0,0
"AF5F4A2DCF7A4772AEEE56665B8D3BCD","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06053","Patch","Overtopped","live",,,,,45,0.2,,"healthy",,"NEON.DOC.014040","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0,0
"7DAEDE96CCC945699CEA93575C293E02","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06058","Patch","Overtopped","live",,,,,50,0.2,,"healthy",,"NEON.DOC.014040","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0,0
"DC9EA8FCF71743F6B54D45E5724A28D7","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06109",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"5070EE4CC11D43569065C5B8BF4FC661","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06108",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"7512751EDC6143B094BE13EED8E0126B","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06107",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"EE197092C5BA456FB85F575AF0BC0726","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06106",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"9AAAF585EB914723B30C62F3833B7208","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06105",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"BB83355C99004DEBB1BFE8B658613A48","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06104",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"9638301FD5A5446C9761714648907872","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06114",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"85C4F8E452294CFB98AC9FB5E13BF078","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06112",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"181C64F10243463894BF4252C098E9EF","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06110",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"3FAC9233D73A45AA95C9530665BF4786","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06062",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"E8CE512415454929BE45A3EFE939255E","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06066",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"622E1DB933AA4C83B7A8BE7FA668BE41","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06067",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"22AA906218664E15AD83941A5410CA22","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06101",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"078762EE0F5549A0B5D6C165CFBEBD67","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06103",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"3521276B58A4440F925A69C0409411FA","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06072",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"2E438CACB5BD44A8AA6F776EF7897590","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06071",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"A20C3AFC9926403C85CC0DA64BA8221C","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06077",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"E400BA792F3F4E788A6370D287BAB588","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06075",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"451BCB6614614EC48C7A4BA8F9549697","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06079",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"B76A52EE91044797B9FDBDF028D74511","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06047",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"0EFC8B6F340F4BCB8AFF482133C95D43","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06128",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"44748B77BF624F859EBA84A26D6F411E","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06127",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"DDABDDE6FB0B41DC8343BE7BBD061434","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06131",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"EB5C13D8CBCF421094D085356B935108","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06130",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"DF559A444B0D4229A275768EB5F340F8","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06089",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"61F30F0985F44E31A1B4EDD1ADE9821D","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06085",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"8B23C62BF0D64E92A45EA85A5A33FB76","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06056",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"43A0B4B195AB4B31809D2A3560CD383F","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06057",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"A9D42C45CF5A4EBCB521B3F4CA1B6065","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06055",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"46CC2D1A5E7A4FBE890B69FA63643A9F","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06115",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"37F9D816B40C4A629C536507AE59FD59","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06117",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"BDE4F233012B461F9BF15F164799AD1F","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06093",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"5D0E3B3571744F41810F24D62828503C","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06092",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"2C9CDA0466854A13BAA98C1C3BA1ED29","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06122",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"1498CABA5F274DF7925E3A74A89BBD1D","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06123",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"4524BBF824734A1BAD1AC810EC0DF54B","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06124",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"E7E1066B54344B998C7D171909B92510","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06084","Patch","Overtopped","live",,,,,85,0.4,,"healthy",,"NEON.DOC.014040","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0,0
"4308DE527847438AADA21E92F93525A3","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06088","Patch","Overtopped","live",,,,,65,0.4,,"healthy",,"NEON.DOC.014040","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0,0
"7EAB316366524D639FA0D03453DB8843","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06063","Patch","Overtopped","live",,,,,70,0.2,,"healthy",,"NEON.DOC.014040","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0,0
"A3823DD151DE4741BF92EDB0EC6602DC","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06064","Patch","Overtopped","live",,,,,20,0.2,,"healthy",,"NEON.DOC.014040","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0,0
"538427335C704F69AB4305787620B3A3","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06081","Patch","Overtopped","live",,,,,45,0.2,,"healthy",,"NEON.DOC.014040","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0,0
"A3223164F07D4900854BC209926F4FBC","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06083","Patch","Overtopped","live",,,,,45,0.2,,"healthy",,"NEON.DOC.014040","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0,0
"37F391ACE15D4C0A8EFC3C2B45730FFD","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06042","Patch","Overtopped","live",,,,,30,0.2,,"healthy",,"NEON.DOC.014040","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0,0
"A0356AA9475C4748A4243F2FC04CCE5F","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06065","Patch","Overtopped","live",,,,,80,0.2,,"healthy",,"NEON.DOC.014040","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0,0
"8E933472DCFA4916A84F887AF20E73F3","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06082","Patch","Overtopped","live",,,,,75,0.5,,"healthy",,"NEON.DOC.014040","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0,0
"0A46292939F94E60B39D2CFE5E916F96","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06043","Patch","Overtopped","live",,,,,30,0.3,,"healthy",,"NEON.DOC.014040","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0,0
"D3949F6407574180BF8FBEFBFF2EE04E","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06113",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"1B3D3894507040C5B44F3259EFEC92CB","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06111",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"9FF22EB2D1584CA1B69AF8FE0A2F9F94","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06060",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"6B5AA48839724472B1330D3A4A01D13F","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06061",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"7061B1E5DE2940AB8AD5F6D424F52AF0","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06068",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
"B43BD85138A34012BEC02584EC36671F","D02","SCBI","SCBI_060","2014-09-13","NEON.PLA.D02.SCBI.06069",,,,,,,,,,,,,"NEON.DOC.014040",,,"This record is generated by the system",0,1
