"uid","domainID","siteID","plotID","date","dayOfYear","individualID","taxonID","scientificName","identificationQualifier","growthForm","phenophaseName","phenophaseStatus","phenophaseIntensityDefinition","phenophaseIntensity","samplingProtocol","measuredBy","recordedBy","remarks","duplicateIndividualDayStatusQF"
"639C3468D20F421AA302CE06DE1BCA4C","D02","SCBI","SCBI_060","2014-06-07",157,"NEON.PLA.D02.SCBI.06068","LITU","Liriodendron tulipifera L.",,"Deciduous broadleaf","Colored leaves","no",,,"NEON.DOC.014040","+oMcon12yHBVomk9A4wem4se3xH13+K2","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0
"26EC84F2AEFB4A91B245FEB35448CD13","D02","SCBI","SCBI_060","2014-06-07",157,"NEON.PLA.D02.SCBI.06090","LITU","Liriodendron tulipifera L.",,"Deciduous broadleaf","Leaves","yes","Percentage of the canopy that is full with leaves",">= 95%","NEON.DOC.014040","+oMcon12yHBVomk9A4wem4se3xH13+K2","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0
"772C29BBAFD6419EB7BF43E0D14C8112","D02","SCBI","SCBI_060","2014-06-07",157,"NEON.PLA.D02.SCBI.06060","LITU","Liriodendron tulipifera L.",,"Deciduous broadleaf","Breaking leaf buds","no",,,"NEON.DOC.014040","+oMcon12yHBVomk9A4wem4se3xH13+K2","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0
"D90B76833C01443485B537AB0F3EAF48","D02","SCBI","SCBI_060","2014-06-07",157,"NEON.PLA.D02.SCBI.06073","LITU","Liriodendron tulipifera L.",,"Deciduous broadleaf","Leaves","yes","Percentage of the canopy that is full with leaves",">= 95%","NEON.DOC.014040","+oMcon12yHBVomk9A4wem4se3xH13+K2","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0
"D4FBEAAB6C5A4C689100191B16CF8F9D","D02","SCBI","SCBI_060","2014-06-07",157,"NEON.PLA.D02.SCBI.06093","LITU","Liriodendron tulipifera L.",,"Deciduous broadleaf","Colored leaves","no",,,"NEON.DOC.014040","+oMcon12yHBVomk9A4wem4se3xH13+K2","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0
"8208F5C30D494A96A92064A0E7584122","D02","SCBI","SCBI_060","2014-06-07",157,"NEON.PLA.D02.SCBI.06086","LITU","Liriodendron tulipifera L.",,"Deciduous broadleaf","Leaves","yes","Percentage of the canopy that is full with leaves",">= 95%","NEON.DOC.014040","+oMcon12yHBVomk9A4wem4se3xH13+K2","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0
"3639F5D63AE04DA39D86C63808946B0D","D02","SCBI","SCBI_060","2014-06-07",157,"NEON.PLA.D02.SCBI.06053","MIVI","Microstegium vimineum (Trin.) A. Camus",,"Graminoid","Leaves","yes","Percentage of the plant that is green.",">= 95%","NEON.DOC.014040","+oMcon12yHBVomk9A4wem4se3xH13+K2","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0
"82C6AE4B59D340599F8C270FF17372DF","D02","SCBI","SCBI_060","2014-06-07",157,"NEON.PLA.D02.SCBI.06055","LITU","Liriodendron tulipifera L.",,"Deciduous broadleaf","Leaves","yes","Percentage of the canopy that is full with leaves",">= 95%","NEON.DOC.014040","+oMcon12yHBVomk9A4wem4se3xH13+K2","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0
"3BBB104D1274422C9F0506E134B9A8B9","D02","SCBI","SCBI_060","2014-06-07",157,"NEON.PLA.D02.SCBI.06096","MIVI","Microstegium vimineum (Trin.) A. Camus",,"Graminoid","Leaves","yes","Percentage of the plant that is green.",">= 95%","NEON.DOC.014040","+oMcon12yHBVomk9A4wem4se3xH13+K2","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0
"C9B5D69CCC9E4B30B575BDBDD9A47F73","D02","SCBI","SCBI_060","2014-06-07",157,"NEON.PLA.D02.SCBI.06055","LITU","Liriodendron tulipifera L.",,"Deciduous broadleaf","Breaking leaf buds","no",,,"NEON.DOC.014040","+oMcon12yHBVomk9A4wem4se3xH13+K2","cVPbPdjHNiEVZ3Vlm83FuXHus5z3id4m",,0
