"uid","domainID","siteID","plotID","date","dayOfYear","individualID","taxonID","scientificName","identificationQualifier","growthForm","phenophaseName","phenophaseStatus","phenophaseIntensityDefinition","phenophaseIntensity","samplingProtocol","measuredBy","recordedBy","remarks","duplicateIndividualDayStatusQF"
"0D23ADBFBC37436C898E230BCA30F249","D05","UNDE","UNDE_063","2014-07-31",211,"NEON.PLA.D05.UNDE.06046","POTR5","Populus tremuloides Michx.",,"Deciduous broadleaf","Breaking leaf buds","no",,,"NEON.DOC.014040","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,0
"3555EF30E8B04669B997DA3D015C80DB","D05","UNDE","UNDE_063","2014-07-31",211,"NEON.PLA.D05.UNDE.06056","POTR5","Populus tremuloides Michx.",,"Deciduous broadleaf","Open flowers","no",,,"NEON.DOC.014040","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,0
"A739862A0A5040E18240491693F6BFB7","D05","UNDE","UNDE_063","2014-07-31",211,"NEON.PLA.D05.UNDE.06011","POTR5","Populus tremuloides Michx.",,"Deciduous broadleaf","Open flowers","no",,,"NEON.DOC.014040","XENnZmyHkF5NdgSc0QamaFzWWSN9u4eR","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","Canopy very hard to see",0
"6753F9B0252C46AEB875700361A5659A","D05","UNDE","UNDE_063","2014-07-31",211,"NEON.PLA.D05.UNDE.06053","ACSA3","Acer saccharum Marshall",,"Deciduous broadleaf","Leaves","yes","Percentage of the canopy that is full with leaves",">= 95%","NEON.DOC.014040","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,0
"D41A7340A68E4C288285C4543AD2AE01","D05","UNDE","UNDE_063","2014-07-31",211,"NEON.PLA.D05.UNDE.06036","POTR5","Populus tremuloides Michx.",,"Deciduous broadleaf","Open flowers","no",,,"NEON.DOC.014040","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,0
"B88A47D675B44254A5DA0F913E5BBB71","D05","UNDE","UNDE_063","2014-07-31",211,"NEON.PLA.D05.UNDE.06067","ACSA3","Acer saccharum Marshall",,"Deciduous broadleaf","Open flowers","no",,,"NEON.DOC.014040","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,0
"30F4E53B8C284691A642674872B7AE8A","D05","UNDE","UNDE_063","2014-07-31",211,"NEON.PLA.D05.UNDE.06062","ACSA3","Acer saccharum Marshall",,"Deciduous broadleaf","Open flowers","no",,,"NEON.DOC.014040","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,0
"AEC94D6B30EA4F9E9C77BA2BC0901FF4","D05","UNDE","UNDE_063","2014-07-31",211,"NEON.PLA.D05.UNDE.06036","POTR5","Populus tremuloides Michx.",,"Deciduous broadleaf","Breaking leaf buds","no",,,"NEON.DOC.014040","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,0
"886A044CD62C4C818D63523D24A48CFA","D05","UNDE","UNDE_063","2014-07-31",211,"NEON.PLA.D05.UNDE.06037","ACSA3","Acer saccharum Marshall",,"Deciduous broadleaf","Breaking leaf buds","no",,,"NEON.DOC.014040","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,0
"1EA4C121658F48238E801F67EC9BB7DC","D05","UNDE","UNDE_063","2014-07-31",211,"NEON.PLA.D05.UNDE.06015","ACSA3","Acer saccharum Marshall",,"Deciduous broadleaf","Leaves","yes","Percentage of the canopy that is full with leaves",">= 95%","NEON.DOC.014040","XENnZmyHkF5NdgSc0QamaFzWWSN9u4eR","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,0
"6E319369628043C5B5643B692FF29F03","D05","UNDE","UNDE_063","2014-07-31",211,"NEON.PLA.D05.UNDE.06062","ACSA3","Acer saccharum Marshall",,"Deciduous broadleaf","Falling leaves","no",,,"NEON.DOC.014040","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,0
"AA3661B7BDBF4F638EA3E3064ABA42CD","D05","UNDE","UNDE_063","2014-07-31",211,"NEON.PLA.D05.UNDE.06006","POTR5","Populus tremuloides Michx.",,"Deciduous broadleaf","Increasing leaf size","no",,,"NEON.DOC.014040","XENnZmyHkF5NdgSc0QamaFzWWSN9u4eR","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd","Has one fully dead branch w/ dead leaves",0
"171CF58937C44F6AA0A06329892E42DC","D05","UNDE","UNDE_063","2014-07-31",211,"NEON.PLA.D05.UNDE.06012","ACSA3","Acer saccharum Marshall",,"Deciduous broadleaf","Leaves","yes","Percentage of the canopy that is full with leaves",">= 95%","NEON.DOC.014040","XENnZmyHkF5NdgSc0QamaFzWWSN9u4eR","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,0
"FA1BD78BABA246B2878D132FF31B7917","D05","UNDE","UNDE_063","2014-07-31",211,"NEON.PLA.D05.UNDE.06021","ACSA3","Acer saccharum Marshall",,"Deciduous broadleaf","Breaking leaf buds","no",,,"NEON.DOC.014040","XENnZmyHkF5NdgSc0QamaFzWWSN9u4eR","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,0
"5762FB797DA84F99996774173F5C6936","D05","UNDE","UNDE_063","2014-07-31",211,"NEON.PLA.D05.UNDE.06058","ACSA3","Acer saccharum Marshall",,"Deciduous broadleaf","Leaves","yes","Percentage of the canopy that is full with leaves",">= 95%","NEON.DOC.014040","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,0
"3F3F902FAAD242F18C8E9204AD5AB4B4","D05","UNDE","UNDE_063","2014-07-31",211,"NEON.PLA.D05.UNDE.06047","ACSA3","Acer saccharum Marshall",,"Deciduous broadleaf","Colored leaves","no",,,"NEON.DOC.014040","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,0
"08B14046D85A4DF79F235F610FD131A8","D05","UNDE","UNDE_063","2014-07-31",211,"NEON.PLA.D05.UNDE.06002","ACSA3","Acer saccharum Marshall",,"Deciduous broadleaf","Colored leaves","no",,,"NEON.DOC.014040","XENnZmyHkF5NdgSc0QamaFzWWSN9u4eR","pFrwQTwEWJN+GiFv8r3h8Z0vAfADqHPd",,0
"F080418888E44013AD8EBEB2D4254A9E","D05","UNDE","UNDE_063","2014-07-31",211,"NEON.PLA.D05.UNDE.06044","POTR5","Populus tremuloides Michx.",,"Deciduous broadleaf","Colored leaves","no",,,"NEON.DOC.014040","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8","GIyaUhrL0JrpxdGisOZe9fn2UK80616e","tree looks unhealthy",0
"81A48A8ABC154E1994B92A4C0AA22F4D","D05","UNDE","UNDE_063","2014-07-31",211,"NEON.PLA.D05.UNDE.06045","ACSA3","Acer saccharum Marshall",,"Deciduous broadleaf","Leaves","yes","Percentage of the canopy that is full with leaves",">= 95%","NEON.DOC.014040","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,0
"B122D022130844378CBBCB84F687AC59","D05","UNDE","UNDE_063","2014-07-31",211,"NEON.PLA.D05.UNDE.06046","POTR5","Populus tremuloides Michx.",,"Deciduous broadleaf","Colored leaves","no",,,"NEON.DOC.014040","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,0
"CD751E783462486EAB420B9B8C94B707","D05","UNDE","UNDE_063","2014-07-31",211,"NEON.PLA.D05.UNDE.06042","ACSA3","Acer saccharum Marshall",,"Deciduous broadleaf","Leaves","yes","Percentage of the canopy that is full with leaves",">= 95%","NEON.DOC.014040","CxWlXtj1NvtNxLbcJnjAP5Zu1Ug04Eq8","GIyaUhrL0JrpxdGisOZe9fn2UK80616e",,0
