"uid","domainID","siteID","plotID","date","individualID","patchOrIndividual","canopyPosition","plantStatus","stemDiameter","measurementHeight","maxCanopyDiameter","ninetyCanopyDiameter","percentCover","height","adultLeafLength","diseaseStatus","diseaseType","samplingProtocol","measuredBy","recordedBy","remarks","duplicateIndividualYearQF","missingRecordsIndividPerYearQF"
"02D022EBB09E4C349398C7C1C0FF5954","D07","ORNL","ORNL_064","2014-10-28","NEON.PLA.D07.ORNL.06090","Individual","Overtopped","live",,,0.2,0.2,,0.2,3.5,"healthy",,"NEON.DOC.014040","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ",,1,0
"494258000E24447B89B5396E834202CD","D07","ORNL","ORNL_064","2014-10-28","NEON.PLA.D07.ORNL.06001","Individual","Overtopped","live",,,0.5,0.3,,0.2,4.0,"healthy",,"NEON.DOC.014040","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ",,1,0
"F5E1E0C6DBEC450F86ED3C3B74D2AA30","D07","ORNL","ORNL_064","2014-10-28","NEON.PLA.D07.ORNL.06009","Individual","Overtopped","live",,,0.2,0.1,,0.2,3.0,"healthy",,"NEON.DOC.014040","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ",,1,0
"53B1A54F530640BA98C230BCF9F82B61","D07","ORNL","ORNL_064","2014-10-28","NEON.PLA.D07.ORNL.06004","Individual","Overtopped","live",,,0.3,0.2,,0.3,3.5,"healthy",,"NEON.DOC.014040","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ",,1,0
"8156C2F6394F4FC5B4603232BE52A758","D07","ORNL","ORNL_064","2014-10-28","NEON.PLA.D07.ORNL.06006","Individual","Dominant","live",38.4,130.0,9.4,6.0,,29.0,9.0,"healthy",,"NEON.DOC.014040","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ",,1,0
"4555CFE931A74DB29FBF73DE78CAF4DE","D07","ORNL","ORNL_064","2014-10-28","NEON.PLA.D07.ORNL.06053","Individual","Co-dominant","live",22.8,130.0,6.1,4.4,,18.9,10.0,"healthy",,"NEON.DOC.014040","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ",,1,0
"126C70DF874A444D946C7679C87D9A8A","D07","ORNL","ORNL_064","2014-10-28","NEON.PLA.D07.ORNL.06051","Individual","Intermediate","live",13.4,130.0,3.0,2.6,,13.1,11.0,"healthy",,"NEON.DOC.014040","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ",,1,0
"C77DE5813D024F70BA3D331C4F8D5675","D07","ORNL","ORNL_064","2014-10-28","NEON.PLA.D07.ORNL.06050","Individual","Intermediate","live",8.2,130.0,4.0,3.4,,10.0,11.0,"healthy",,"NEON.DOC.014040","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ",,1,0
"60316C66305B40CC9F72495C5A2BA2A8","D07","ORNL","ORNL_064","2014-10-28","NEON.PLA.D07.ORNL.06045","Individual","Co-dominant","live",14.3,130.0,4.2,2.9,,16.0,9.0,"healthy",,"NEON.DOC.014040","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ",,1,0
"77D404E96ACC430695E04BDADF02AC0E","D07","ORNL","ORNL_064","2014-10-28","NEON.PLA.D07.ORNL.06052","Individual","Co-dominant","live",25.2,130.0,5.3,3.7,,21.2,9.0,"healthy",,"NEON.DOC.014040","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ",,1,0
"ADEFE67BA15043698CFAF881EDC94E8B","D07","ORNL","ORNL_064","2014-10-28","NEON.PLA.D07.ORNL.06046","Individual","Co-dominant","live",22.5,130.0,10.1,6.7,,15.1,11.0,"healthy",,"NEON.DOC.014040","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ",,1,0
"9EC646C99778492AAB64B2F8DFD64DFC","D07","ORNL","ORNL_064","2014-10-28","NEON.PLA.D07.ORNL.06005","Individual","Overtopped","live",,,0.3,0.2,,0.3,3.0,"healthy",,"NEON.DOC.014040","wUBWszgu2lH2diIu19eQL/9vP8SagSqv","FII5NHkrIeQI4f+soqpivO/xVBSahwuJ",,1,0
