"uid","domainID","siteID","plotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","addDate","dropDate","identifiedDate","individualID","taxonID","scientificName","identificationQualifier","taxonRank","growthForm","samplingProtocol","measuredBy","identifiedBy","recordedBy","remarks","duplicateIndividualIDQF"
"3BD3475531C941DFBAAA08B65FDECEE7","D10","CPER","CPER_077",40.818693,-104.746328,"WGS84",2.1,1646.5,,"2014-03-15",,"2014-03-15","NEON.PLA.D10.CPER.06002","THFI","Thelesperma filifolium (Hook.) A. Gray",,"species","Forb","NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"6C74D684494644AFAD64731A81C1FB8D","D10","CPER","CPER_077",40.818632,-104.746083,"WGS84",2.1,1646.3,,"2014-03-15",,"2014-03-15","NEON.PLA.D10.CPER.06004","BOGR2","Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths",,"species","Graminoid","NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"F8551882C10E468AAF57B77FB920F58F","D10","CPER","CPER_077",40.818733,-104.746341,"WGS84",2.1,1646.5,,"2014-03-15",,"2014-03-15","NEON.PLA.D10.CPER.06001","BOGR2","Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths",,"species","Graminoid","NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"196A7D564EEC4E4F9F3E25797CFA6EAB","D10","CPER","CPER_077",40.818667,-104.746338,"WGS84",2.1,1646.5,,"2014-03-15",,"2014-03-15","NEON.PLA.D10.CPER.06003","HECO26","Hesperostipa comata (Trin. & Rupr.) Barkworth",,"species","Graminoid","NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"2008127D39D54908877E5CE6D55ED223","D10","CPER","CPER_077",40.818731,-104.745728,"WGS84",2.1,1645.9,,"2014-03-15",,"2014-03-15","NEON.PLA.D10.CPER.06007","BOGR2","Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths",,"species","Graminoid","NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"0A017B4E58CB4D468B1894B4B201BF57","D10","CPER","CPER_077",40.818674,-104.745773,"WGS84",2.1,1645.9,,"2014-03-15",,"2014-03-15","NEON.PLA.D10.CPER.06008","THFI","Thelesperma filifolium (Hook.) A. Gray",,"species","Forb","NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"6345226C692544E598C8F9EDD4310E83","D10","CPER","CPER_077",40.818740,-104.745229,"WGS84",2.1,1645.4,,"2014-03-15",,"2014-03-15","NEON.PLA.D10.CPER.06014","BOGR2","Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths",,"species","Graminoid","NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"4E291473DA9F4D618937C7B9948C8AD6","D10","CPER","CPER_077",40.818690,-104.745438,"WGS84",2.1,1645.6,,"2014-03-15",,"2014-03-15","NEON.PLA.D10.CPER.06011","HECO26","Hesperostipa comata (Trin. & Rupr.) Barkworth",,"species","Graminoid","NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"7582A675AABD4AAF9DB1D2D6AA29137F","D10","CPER","CPER_077",40.818751,-104.745250,"WGS84",2.1,1645.4,,"2014-03-15",,"2014-03-15","NEON.PLA.D10.CPER.06013","THFI","Thelesperma filifolium (Hook.) A. Gray",,"species","Forb","NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"4EED58C227914858AE1D497662B7BE2F","D10","CPER","CPER_077",40.818687,-104.745649,"WGS84",2.1,1645.8,,"2014-03-15",,"2014-03-15","NEON.PLA.D10.CPER.06009","HECO26","Hesperostipa comata (Trin. & Rupr.) Barkworth",,"species","Graminoid","NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
