"uid","domainID","siteID","plotID","date","individualID","patchOrIndividual","canopyPosition","plantStatus","stemDiameter","measurementHeight","maxCanopyDiameter","ninetyCanopyDiameter","percentCover","height","adultLeafLength","diseaseStatus","diseaseType","samplingProtocol","measuredBy","recordedBy","remarks","duplicateIndividualYearQF","missingRecordsIndividPerYearQF"
"6A6F9C8A43D543BB8D20FC5B5BB28CA2","D10","CPER","CPER_077","2014-06-05","NEON.PLA.D10.CPER.06060","Patch","Dominant","live",,,,,80,0.2,,"healthy",,"NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Xlq171H9ZZacHRTOGVYKqs8+16kKTkQj",,0,0
"EE36984BBDC34CF8BDF33869998C1B9D","D10","CPER","CPER_077","2014-06-05","NEON.PLA.D10.CPER.06061","Patch","Co-dominant","live",,,,,15,0.1,,"healthy",,"NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Xlq171H9ZZacHRTOGVYKqs8+16kKTkQj",,0,0
"C3E70BEAD34B49BAAFE76D0E225F6645","D10","CPER","CPER_077","2014-06-05","NEON.PLA.D10.CPER.06056","Individual","Dominant","live",,,0.2,0.1,,0.5,,"healthy",,"NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Xlq171H9ZZacHRTOGVYKqs8+16kKTkQj",,0,0
"42C22C8D74604548BEE71872C0EFD836","D10","CPER","CPER_077","2014-06-05","NEON.PLA.D10.CPER.06019","Patch","Intermediate","live",,,,,10,0.1,,"healthy",,"NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Xlq171H9ZZacHRTOGVYKqs8+16kKTkQj",,0,0
"E71D13CE1CF44F27BA97BB61528BADB2","D10","CPER","CPER_077","2014-06-05","NEON.PLA.D10.CPER.06017","Patch","Dominant","live",,,,,95,0.2,,"healthy",,"NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Xlq171H9ZZacHRTOGVYKqs8+16kKTkQj",,0,0
"CED0D4B37B8147BEA5ADEEA45D820681","D10","CPER","CPER_077","2014-06-05","NEON.PLA.D10.CPER.06062","Individual","Open Grown","live",,,0.3,0.3,,0.4,,"healthy",,"NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Xlq171H9ZZacHRTOGVYKqs8+16kKTkQj",,0,0
"CA4563D2E9704BB89DEC1EFCD62DAC07","D10","CPER","CPER_077","2014-06-05","NEON.PLA.D10.CPER.06018","Individual","Dominant","live",,,0.6,0.5,,0.4,,"healthy",,"NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Xlq171H9ZZacHRTOGVYKqs8+16kKTkQj",,0,0
"BF2C530859C64B6FB30392E7654CDDDD","D10","CPER","CPER_077","2014-06-05","NEON.PLA.D10.CPER.06053","Individual","Dominant","live",,,0.3,0.3,,0.5,,"healthy",,"NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Xlq171H9ZZacHRTOGVYKqs8+16kKTkQj",,0,0
"7FD057207B334D3AACEF7F50E5C9CC84","D10","CPER","CPER_077","2014-06-05","NEON.PLA.D10.CPER.06054","Patch","Dominant","live",,,,,70,0.2,,"healthy",,"NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Xlq171H9ZZacHRTOGVYKqs8+16kKTkQj",,0,0
"89C28E936E944EBCBD0A731B4246A8A7","D10","CPER","CPER_077","2014-06-05","NEON.PLA.D10.CPER.06059","Individual","Dominant","live",,,0.6,0.4,,0.5,,"healthy",,"NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Xlq171H9ZZacHRTOGVYKqs8+16kKTkQj",,0,0
"49AEA95C583644A1B2C53F4F25CAD384","D10","CPER","CPER_077","2014-06-05","NEON.PLA.D10.CPER.06063","Patch","Open Grown","live",,,,,92,0.3,,"healthy",,"NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Xlq171H9ZZacHRTOGVYKqs8+16kKTkQj",,0,0
"483AED32E3494964BB3480E890DCC847","D10","CPER","CPER_077","2014-06-05","NEON.PLA.D10.CPER.06055","Patch","Intermediate","live",,,,,7,0.1,,"healthy",,"NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Xlq171H9ZZacHRTOGVYKqs8+16kKTkQj",,0,0
"260107DF9103427587603595AB62FCDF","D10","CPER","CPER_077","2014-06-05","NEON.PLA.D10.CPER.06057","Patch","Co-dominant","live",,,,,40,0.2,,"healthy",,"NEON.DOC.014040","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Xlq171H9ZZacHRTOGVYKqs8+16kKTkQj",,0,0
