"uid","domainID","siteID","plotID","date","dayOfYear","individualID","taxonID","scientificName","identificationQualifier","growthForm","phenophaseName","phenophaseStatus","phenophaseIntensityDefinition","phenophaseIntensity","samplingProtocol","measuredBy","recordedBy","remarks","duplicateIndividualDayStatusQF"
"32653BA8699E457986578F4EAD9A0E5F","D10","CPER","CPER_077","2014-03-25",83,"NEON.PLA.D10.CPER.06036","THFI","Thelesperma filifolium (Hook.) A. Gray",,"Forb","Leaves","yes",,,"NEON.DOC.014040","KoPqBbulio7lfzETgK1qzn9diLK/1RdS","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK",,0
"50B780B5CC224079B19FC154464BC27D","D10","CPER","CPER_077","2014-03-25",83,"NEON.PLA.D10.CPER.06028","BOGR2","Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths",,"Graminoid","Open flowers","no",,,"NEON.DOC.014040","KoPqBbulio7lfzETgK1qzn9diLK/1RdS","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK",,0
"4173C19E31DB4CBC92354EEE3AC12BF2","D10","CPER","CPER_077","2014-03-25",83,"NEON.PLA.D10.CPER.06024","THFI","Thelesperma filifolium (Hook.) A. Gray",,"Forb","Initial growth","missed",,,"NEON.DOC.014040","KoPqBbulio7lfzETgK1qzn9diLK/1RdS","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK",,0
"9968B5BB495C491880233CED02C10E9A","D10","CPER","CPER_077","2014-03-25",83,"NEON.PLA.D10.CPER.06007","BOGR2","Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths",,"Graminoid","Leaves","no",,,"NEON.DOC.014040","KoPqBbulio7lfzETgK1qzn9diLK/1RdS","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK",,0
"B9645FF68CE740AB854871735993C334","D10","CPER","CPER_077","2014-03-25",83,"NEON.PLA.D10.CPER.06008","THFI","Thelesperma filifolium (Hook.) A. Gray",,"Forb","Leaves","yes",,,"NEON.DOC.014040","KoPqBbulio7lfzETgK1qzn9diLK/1RdS","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK",,0
"9B79DCE4A66A481E9E29F4F4036BC7C2","D10","CPER","CPER_077","2014-03-25",83,"NEON.PLA.D10.CPER.06022","HECO26","Hesperostipa comata (Trin. & Rupr.) Barkworth",,"Graminoid","Initial growth","missed",,,"NEON.DOC.014040","KoPqBbulio7lfzETgK1qzn9diLK/1RdS","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK",,0
"7625AF51CECB4AF0B8A3C0BDB70B625F","D10","CPER","CPER_077","2014-03-25",83,"NEON.PLA.D10.CPER.06032","THFI","Thelesperma filifolium (Hook.) A. Gray",,"Forb","Initial growth","missed",,,"NEON.DOC.014040","KoPqBbulio7lfzETgK1qzn9diLK/1RdS","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK",,0
"1C23AB6B72B44E1DBAE569F37516485F","D10","CPER","CPER_077","2014-03-25",83,"NEON.PLA.D10.CPER.06061","BOGR2","Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths",,"Graminoid","Leaves","no",,,"NEON.DOC.014040","KoPqBbulio7lfzETgK1qzn9diLK/1RdS","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK",,0
"9518486DF0FC463B884DB673E61FB79E","D10","CPER","CPER_077","2014-03-25",83,"NEON.PLA.D10.CPER.06084","BOGR2","Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths",,"Graminoid","Open flowers","no",,,"NEON.DOC.014040","KoPqBbulio7lfzETgK1qzn9diLK/1RdS","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK",,0
"27DF7070C3B944A987CAABB549FCDD49","D10","CPER","CPER_077","2014-03-25",83,"NEON.PLA.D10.CPER.06048","THFI","Thelesperma filifolium (Hook.) A. Gray",,"Forb","Open flowers","no",,,"NEON.DOC.014040","KoPqBbulio7lfzETgK1qzn9diLK/1RdS","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK",,0
"2553A49C84AE4950A70A722FA1C75EEF","D10","CPER","CPER_077","2014-03-25",83,"NEON.PLA.D10.CPER.06031","BOGR2","Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths",,"Graminoid","Open flowers","no",,,"NEON.DOC.014040","KoPqBbulio7lfzETgK1qzn9diLK/1RdS","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK",,0
"6E0638CF989A4DA08DB5AA035856A1CA","D10","CPER","CPER_077","2014-03-25",83,"NEON.PLA.D10.CPER.06020","THFI","Thelesperma filifolium (Hook.) A. Gray",,"Forb","Open flowers","no",,,"NEON.DOC.014040","KoPqBbulio7lfzETgK1qzn9diLK/1RdS","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK",,0
"CA25B944FB5947F5AF44E4C6BF52E2E3","D10","CPER","CPER_077","2014-03-25",83,"NEON.PLA.D10.CPER.06026","THFI","Thelesperma filifolium (Hook.) A. Gray",,"Forb","Leaves","yes",,,"NEON.DOC.014040","KoPqBbulio7lfzETgK1qzn9diLK/1RdS","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK",,0
"AC15FFFB2DE74F5482C1A62FA1A3E4AA","D10","CPER","CPER_077","2014-03-25",83,"NEON.PLA.D10.CPER.06074","HECO26","Hesperostipa comata (Trin. & Rupr.) Barkworth",,"Graminoid","Leaves","yes","Percentage of the plant that is green.","< 5%","NEON.DOC.014040","KoPqBbulio7lfzETgK1qzn9diLK/1RdS","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK",,0
