"uid","domainID","siteID","plotID","date","individualID","patchOrIndividual","canopyPosition","plantStatus","stemDiameter","measurementHeight","maxCanopyDiameter","ninetyCanopyDiameter","percentCover","height","adultLeafLength","diseaseStatus","diseaseType","samplingProtocol","measuredBy","recordedBy","remarks","duplicateIndividualYearQF","missingRecordsIndividPerYearQF"
"EE30ADA4279F42C6BDDA0DC47014812D","D10","STER","STER_017","2014-06-11","NEON.PLA.D10.STER.06114","Patch","Co-dominant","live",,,,,52,0.8,,"healthy",,"NEON.DOC.014040","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","YQGD7F95APlUwE2tMnAo5z6OP2oWhM90jU8ejoIs6uE=",,0,0
"785E29CFBB2F45F7AA39741EBC0E02F7","D10","STER","STER_017","2014-06-11","NEON.PLA.D10.STER.06117","Patch","Co-dominant","live",,,,,35,0.8,,"healthy",,"NEON.DOC.014040","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","YQGD7F95APlUwE2tMnAo5z6OP2oWhM90jU8ejoIs6uE=",,0,0
"1CD392D58468489C9E33F3489138C0A6","D10","STER","STER_017","2014-06-11","NEON.PLA.D10.STER.06113","Patch","Co-dominant","live",,,,,55,0.8,,"healthy",,"NEON.DOC.014040","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","YQGD7F95APlUwE2tMnAo5z6OP2oWhM90jU8ejoIs6uE=",,0,0
"E9E75FEF8DAB42AD9AC80B7B684FC02E","D10","STER","STER_017","2014-06-11","NEON.PLA.D10.STER.06130","Patch","Co-dominant","live",,,,,27,0.8,,"healthy",,"NEON.DOC.014040","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","YQGD7F95APlUwE2tMnAo5z6OP2oWhM90jU8ejoIs6uE=",,0,0
"DB5EB68F83E0492A9ABC6FADF53B919F","D10","STER","STER_017","2014-06-11","NEON.PLA.D10.STER.06116","Patch","Co-dominant","live",,,,,35,0.8,,"healthy",,"NEON.DOC.014040","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","YQGD7F95APlUwE2tMnAo5z6OP2oWhM90jU8ejoIs6uE=",,0,0
"19D06F072EE6473FBC634E4A082C9C92","D10","STER","STER_017","2014-06-11","NEON.PLA.D10.STER.06118","Patch","Co-dominant","live",,,,,45,0.9,,"healthy",,"NEON.DOC.014040","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","YQGD7F95APlUwE2tMnAo5z6OP2oWhM90jU8ejoIs6uE=",,0,0
"47B223C567364D379D1C9C380C0DCBBC","D10","STER","STER_017","2014-06-11","NEON.PLA.D10.STER.06115","Patch","Co-dominant","live",,,,,42,0.8,,"healthy",,"NEON.DOC.014040","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","YQGD7F95APlUwE2tMnAo5z6OP2oWhM90jU8ejoIs6uE=",,0,0
"DFEBE038D63041A2949EDC2A8538E7AA","D10","STER","STER_017","2014-06-11","NEON.PLA.D10.STER.06110","Patch","Co-dominant","live",,,,,60,0.8,,"healthy",,"NEON.DOC.014040","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","YQGD7F95APlUwE2tMnAo5z6OP2oWhM90jU8ejoIs6uE=",,0,0
"9D7DBFBDCA69434E971B6C825CEE4B3A","D10","STER","STER_017","2014-06-11","NEON.PLA.D10.STER.06119","Patch","Co-dominant","live",,,,,58,0.7,,"healthy",,"NEON.DOC.014040","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","YQGD7F95APlUwE2tMnAo5z6OP2oWhM90jU8ejoIs6uE=",,0,0
"C844BA2887984FEAAD51B1E963997A4B","D10","STER","STER_017","2014-06-11","NEON.PLA.D10.STER.06112","Patch","Co-dominant","live",,,,,50,0.8,,"healthy",,"NEON.DOC.014040","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","YQGD7F95APlUwE2tMnAo5z6OP2oWhM90jU8ejoIs6uE=",,0,0
