"uid","domainID","siteID","plotID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","addDate","dropDate","identifiedDate","individualID","taxonID","scientificName","identificationQualifier","taxonRank","growthForm","samplingProtocol","measuredBy","identifiedBy","recordedBy","remarks","duplicateIndividualIDQF"
"B24BE963751D447C9AD14F9AAFC5925A","D10","STER","STER_017",40.462910,-103.032278,"WGS84",2.1,1362.1,,"2014-04-01",,"2014-04-01","NEON.PLA.D10.STER.06110","TRAE","Triticum aestivum L.",,"species","Graminoid","NEON.DOC.014040","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,1
"B1E616CBAC3846ADB958C55A01531A14","D10","STER","STER_017",40.462589,-103.030255,"WGS84",2.1,1363.6,,"2014-04-01",,"2014-04-01","NEON.PLA.D10.STER.06101","TRAE","Triticum aestivum L.",,"species","Graminoid","NEON.DOC.014040","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,1
"813E62BC06C84372819684F46DC847D2","D10","STER","STER_017",40.462695,-103.031079,"WGS84",2.1,1362.0,,"2014-04-01",,"2014-04-01","NEON.PLA.D10.STER.06104","TRAE","Triticum aestivum L.",,"species","Graminoid","NEON.DOC.014040","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK","YQGD7F95APlUwE2tMnAo5z6OP2oWhM90jU8ejoIs6uE=",,1
"EFF846082CAF4CBF9D0E71C1A297504A","D10","STER","STER_017",40.462594,-103.031911,"WGS84",2.1,1362.3,,"2014-04-01",,"2014-04-01","NEON.PLA.D10.STER.06107","TRAE","Triticum aestivum L.",,"species","Graminoid","NEON.DOC.014040","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK","YQGD7F95APlUwE2tMnAo5z6OP2oWhM90jU8ejoIs6uE=",,1
"3CA80CB49CE94F2A9B3C5D8C45D01863","D10","STER","STER_017",40.462706,-103.032422,"WGS84",2.1,1362.6,,"2014-04-01",,"2014-04-01","NEON.PLA.D10.STER.06109","TRAE","Triticum aestivum L.",,"species","Graminoid","NEON.DOC.014040","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,1
"98E0957C4B864C89865A3EFBAD75AE5D","D10","STER","STER_017",40.462688,-103.031628,"WGS84",2.1,1362.1,,"2014-04-01",,"2014-04-01","NEON.PLA.D10.STER.06106","TRAE","Triticum aestivum L.",,"species","Graminoid","NEON.DOC.014040","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK","YQGD7F95APlUwE2tMnAo5z6OP2oWhM90jU8ejoIs6uE=",,1
"4CF16EC6318647D5BCE7C74211415E70","D10","STER","STER_017",40.462588,-103.031358,"WGS84",2.1,1361.9,,"2014-04-01",,"2014-04-01","NEON.PLA.D10.STER.06105","TRAE","Triticum aestivum L.",,"species","Graminoid","NEON.DOC.014040","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK","YQGD7F95APlUwE2tMnAo5z6OP2oWhM90jU8ejoIs6uE=",,1
"17F92363639B4C7A8BD54CAF5F274B8A","D10","STER","STER_017",40.463364,-103.032268,"WGS84",2.1,1361.0,,"2014-04-01",,"2014-04-01","NEON.PLA.D10.STER.06112","TRAE","Triticum aestivum L.",,"species","Graminoid","NEON.DOC.014040","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,1
"745E9C4A15914A59A7FAF6CB69C2BDD3","D10","STER","STER_017",40.464147,-103.032382,"WGS84",2.1,1360.1,,"2014-04-01",,"2014-04-01","NEON.PLA.D10.STER.06115","TRAE","Triticum aestivum L.",,"species","Graminoid","NEON.DOC.014040","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,1
"1656ADF98EEF4DEF9495BD03F6C6EB68","D10","STER","STER_017",40.462696,-103.030542,"WGS84",2.1,1363.0,,"2014-04-01",,"2014-04-01","NEON.PLA.D10.STER.06102","TRAE","Triticum aestivum L.",,"species","Graminoid","NEON.DOC.014040","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK","NkA9+I/yF9SE4zBlhLgmVYtgUgBs9baK","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",,1
