"","domainID","siteID","plotID","plotType","subtype","plotSize"
"811","D05","UNDE","UNDE_034","distributed","birdGrid",250000
"812","D05","UNDE","UNDE_001","distributed","basePlot",1600
"813","D05","UNDE","UNDE_002","distributed","basePlot",1600
"814","D05","UNDE","UNDE_063","tower","phenology",40000
"815","D05","UNDE","UNDE_058","tower","basePlot",1600
"816","D05","UNDE","UNDE_064","tower","phenology",40000
"817","D05","UNDE","UNDE_003","distributed","basePlot",1600
"818","D05","UNDE","UNDE_006","distributed","basePlot",1600
"819","D05","UNDE","UNDE_052","tower","basePlot",1600
"820","D05","UNDE","UNDE_053","tower","basePlot",1600
"821","D05","UNDE","UNDE_059","tower","basePlot",1600
"822","D05","UNDE","UNDE_007","distributed","basePlot",1600
"823","D05","UNDE","UNDE_007","distributed","mammalGrid",8100
"824","D05","UNDE","UNDE_007","distributed","birdGrid",250000
"825","D05","UNDE","UNDE_008","distributed","basePlot",1600
"826","D05","UNDE","UNDE_008","distributed","birdGrid",250000
"827","D05","UNDE","UNDE_008","distributed","mammalGrid",8100
"828","D05","UNDE","UNDE_060","tower","basePlot",1600
"829","D05","UNDE","UNDE_037","tower","basePlot",1600
"830","D05","UNDE","UNDE_061","tower","basePlot",1600
"831","D05","UNDE","UNDE_040","distributed","mammalGrid",8100
"832","D05","UNDE","UNDE_065","tower","basePlot",1600
"833","D05","UNDE","UNDE_009","distributed","birdGrid",250000
"834","D05","UNDE","UNDE_043","tower","basePlot",1600
"835","D05","UNDE","UNDE_010","distributed","basePlot",1600
"836","D05","UNDE","UNDE_054","tower","basePlot",1600
"837","D05","UNDE","UNDE_044","tower","basePlot",1600
"838","D05","UNDE","UNDE_011","distributed","basePlot",1600
"839","D05","UNDE","UNDE_012","distributed","basePlot",1600
"840","D05","UNDE","UNDE_012","distributed","mammalGrid",8100
"841","D05","UNDE","UNDE_013","distributed","basePlot",1600
"842","D05","UNDE","UNDE_002","distributed","birdGrid",250000
"843","D05","UNDE","UNDE_014","distributed","basePlot",1600
"844","D05","UNDE","UNDE_002","distributed","mammalGrid",8100
"845","D05","UNDE","UNDE_015","distributed","basePlot",1600
"846","D05","UNDE","UNDE_016","distributed","basePlot",1600
"847","D05","UNDE","UNDE_045","tower","basePlot",1600
"848","D05","UNDE","UNDE_055","tower","basePlot",1600
"849","D05","UNDE","UNDE_017","distributed","basePlot",1600
"850","D05","UNDE","UNDE_019","distributed","basePlot",1600
"851","D05","UNDE","UNDE_022","distributed","basePlot",1600
"852","D05","UNDE","UNDE_047","tower","basePlot",1600
"853","D05","UNDE","UNDE_003","distributed","mammalGrid",8100
"854","D05","UNDE","UNDE_024","distributed","basePlot",1600
"855","D05","UNDE","UNDE_003","distributed","birdGrid",250000
"856","D05","UNDE","UNDE_048","tower","basePlot",1600
"857","D05","UNDE","UNDE_025","distributed","basePlot",1600
"858","D05","UNDE","UNDE_001","distributed","birdGrid",250000
"859","D05","UNDE","UNDE_001","distributed","mammalGrid",8100
"860","D05","UNDE","UNDE_049","tower","basePlot",1600
"861","D05","UNDE","UNDE_020","distributed","birdGrid",250000
"862","D05","UNDE","UNDE_020","distributed","mammalGrid",8100
"863","D05","UNDE","UNDE_027","distributed","basePlot",1600
"864","D05","UNDE","UNDE_050","tower","basePlot",1600
"865","D05","UNDE","UNDE_028","distributed","basePlot",1600
"866","D05","UNDE","UNDE_030","distributed","basePlot",1600
"867","D05","UNDE","UNDE_027","distributed","mammalGrid",8100
"868","D05","UNDE","UNDE_032","distributed","basePlot",1600
"869","D05","UNDE","UNDE_033","distributed","basePlot",1600
"870","D05","UNDE","UNDE_034","distributed","basePlot",1600
"871","D05","UNDE","UNDE_035","distributed","basePlot",1600
"872","D05","UNDE","UNDE_032","distributed","mammalGrid",8100
"873","D05","UNDE","UNDE_036","distributed","basePlot",1600
"874","D05","UNDE","UNDE_038","tower","basePlot",1600
"875","D05","UNDE","UNDE_056","tower","basePlot",1600
"876","D05","UNDE","UNDE_057","tower","basePlot",1600
"877","D05","UNDE","UNDE_018","distributed","basePlot",1600
"878","D05","UNDE","UNDE_021","distributed","basePlot",1600
"879","D05","UNDE","UNDE_023","distributed","basePlot",1600
"880","D05","UNDE","UNDE_029","distributed","basePlot",1600
"1009","D05","UNDE","UNDE_020","distributed","basePlot",1600
