"","domainID","siteID","plotID","plotType","subtype","plotSize"
"1","D05","UNDE","UNDE_034","distributed","birdGrid",250000
"2","D05","UNDE","UNDE_001","distributed","basePlot",1600
"3","D05","UNDE","UNDE_002","distributed","basePlot",1600
"4","D05","UNDE","UNDE_063","tower","phenology",40000
"5","D05","UNDE","UNDE_058","tower","basePlot",1600
"6","D05","UNDE","UNDE_064","tower","phenology",40000
"7","D05","UNDE","UNDE_003","distributed","basePlot",1600
"8","D05","UNDE","UNDE_006","distributed","basePlot",1600
"9","D05","UNDE","UNDE_052","tower","basePlot",1600
"10","D05","UNDE","UNDE_053","tower","basePlot",1600
"11","D05","UNDE","UNDE_059","tower","basePlot",1600
"12","D05","UNDE","UNDE_007","distributed","basePlot",1600
"13","D05","UNDE","UNDE_007","distributed","mammalGrid",8100
"14","D05","UNDE","UNDE_007","distributed","birdGrid",250000
"15","D05","UNDE","UNDE_008","distributed","basePlot",1600
"16","D05","UNDE","UNDE_008","distributed","birdGrid",250000
"17","D05","UNDE","UNDE_008","distributed","mammalGrid",8100
"18","D05","UNDE","UNDE_060","tower","basePlot",1600
"19","D05","UNDE","UNDE_037","tower","basePlot",1600
"20","D05","UNDE","UNDE_061","tower","basePlot",1600
"21","D05","UNDE","UNDE_040","distributed","mammalGrid",8100
"22","D05","UNDE","UNDE_065","tower","basePlot",1600
"23","D05","UNDE","UNDE_009","distributed","birdGrid",250000
"24","D05","UNDE","UNDE_043","tower","basePlot",1600
"25","D05","UNDE","UNDE_010","distributed","basePlot",1600
"26","D05","UNDE","UNDE_054","tower","basePlot",1600
"27","D05","UNDE","UNDE_044","tower","basePlot",1600
"28","D05","UNDE","UNDE_011","distributed","basePlot",1600
"29","D05","UNDE","UNDE_012","distributed","basePlot",1600
"30","D05","UNDE","UNDE_012","distributed","mammalGrid",8100
"31","D05","UNDE","UNDE_013","distributed","basePlot",1600
"32","D05","UNDE","UNDE_002","distributed","birdGrid",250000
"33","D05","UNDE","UNDE_014","distributed","basePlot",1600
"34","D05","UNDE","UNDE_002","distributed","mammalGrid",8100
"35","D05","UNDE","UNDE_015","distributed","basePlot",1600
"36","D05","UNDE","UNDE_016","distributed","basePlot",1600
"37","D05","UNDE","UNDE_045","tower","basePlot",1600
"38","D05","UNDE","UNDE_055","tower","basePlot",1600
"39","D05","UNDE","UNDE_017","distributed","basePlot",1600
"40","D05","UNDE","UNDE_019","distributed","basePlot",1600
"41","D05","UNDE","UNDE_022","distributed","basePlot",1600
"42","D05","UNDE","UNDE_047","tower","basePlot",1600
"43","D05","UNDE","UNDE_003","distributed","mammalGrid",8100
"44","D05","UNDE","UNDE_024","distributed","basePlot",1600
"45","D05","UNDE","UNDE_003","distributed","birdGrid",250000
"46","D05","UNDE","UNDE_048","tower","basePlot",1600
"47","D05","UNDE","UNDE_025","distributed","basePlot",1600
"48","D05","UNDE","UNDE_001","distributed","birdGrid",250000
"49","D05","UNDE","UNDE_001","distributed","mammalGrid",8100
"50","D05","UNDE","UNDE_049","tower","basePlot",1600
"51","D05","UNDE","UNDE_020","distributed","birdGrid",250000
"52","D05","UNDE","UNDE_020","distributed","mammalGrid",8100
"53","D05","UNDE","UNDE_027","distributed","basePlot",1600
"54","D05","UNDE","UNDE_050","tower","basePlot",1600
"55","D05","UNDE","UNDE_028","distributed","basePlot",1600
"56","D05","UNDE","UNDE_030","distributed","basePlot",1600
"57","D05","UNDE","UNDE_027","distributed","mammalGrid",8100
"58","D05","UNDE","UNDE_032","distributed","basePlot",1600
"59","D05","UNDE","UNDE_033","distributed","basePlot",1600
"60","D05","UNDE","UNDE_034","distributed","basePlot",1600
"61","D05","UNDE","UNDE_035","distributed","basePlot",1600
"62","D05","UNDE","UNDE_032","distributed","mammalGrid",8100
"63","D05","UNDE","UNDE_036","distributed","basePlot",1600
"64","D05","UNDE","UNDE_038","tower","basePlot",1600
"65","D05","UNDE","UNDE_056","tower","basePlot",1600
"66","D05","UNDE","UNDE_057","tower","basePlot",1600
"67","D05","UNDE","UNDE_018","distributed","basePlot",1600
"68","D05","UNDE","UNDE_021","distributed","basePlot",1600
"69","D05","UNDE","UNDE_023","distributed","basePlot",1600
"70","D05","UNDE","UNDE_029","distributed","basePlot",1600
"71","D05","UNDE","UNDE_020","distributed","basePlot",1600
