"","domainID","siteID","plotID","plotType","subtype","plotSize"
"1","D15","ONAQ","ONAQ_041","tower","basePlot",1600
"2","D15","ONAQ","ONAQ_042","tower","basePlot",1600
"3","D15","ONAQ","ONAQ_043","tower","basePlot",1600
"4","D15","ONAQ","ONAQ_044","tower","basePlot",1600
"5","D15","ONAQ","ONAQ_045","tower","basePlot",1600
"6","D15","ONAQ","ONAQ_046","tower","basePlot",1600
"7","D15","ONAQ","ONAQ_047","tower","basePlot",1600
"8","D15","ONAQ","ONAQ_048","tower","basePlot",1600
"9","D15","ONAQ","ONAQ_049","tower","basePlot",1600
"10","D15","ONAQ","ONAQ_050","tower","basePlot",1600
"11","D15","ONAQ","ONAQ_051","tower","basePlot",1600
"12","D15","ONAQ","ONAQ_052","tower","basePlot",1600
"13","D15","ONAQ","ONAQ_053","tower","basePlot",1600
"14","D15","ONAQ","ONAQ_054","tower","basePlot",1600
"15","D15","ONAQ","ONAQ_055","tower","basePlot",1600
"16","D15","ONAQ","ONAQ_056","tower","basePlot",1600
"17","D15","ONAQ","ONAQ_057","tower","basePlot",1600
"18","D15","ONAQ","ONAQ_058","tower","basePlot",1600
"19","D15","ONAQ","ONAQ_059","tower","basePlot",1600
"20","D15","ONAQ","ONAQ_060","tower","basePlot",1600
"21","D15","ONAQ","ONAQ_061","tower","basePlot",1600
"22","D15","ONAQ","ONAQ_062","tower","basePlot",1600
"23","D15","ONAQ","ONAQ_063","tower","basePlot",1600
"24","D15","ONAQ","ONAQ_064","tower","basePlot",1600
"25","D15","ONAQ","ONAQ_065","tower","basePlot",1600
"26","D15","ONAQ","ONAQ_066","tower","basePlot",1600
"27","D15","ONAQ","ONAQ_067","tower","basePlot",1600
"28","D15","ONAQ","ONAQ_068","tower","basePlot",1600
"29","D15","ONAQ","ONAQ_069","tower","basePlot",1600
"30","D15","ONAQ","ONAQ_070","tower","basePlot",1600
"31","D15","ONAQ","ONAQ_071","tower","phenology",40000
"32","D15","ONAQ","ONAQ_072","tower","phenology",40000
