"uid","date","plotID","subplotID","nestedSubplotID","tagID","supportingStemTagID","pointID","stemAzimuth","stemDistance","scientificName","identificationQualifier","growthForm","remarks"
1,20141118,"SCBI_062",39,,"0248",,57,"107.4","2.4",,,"sbt","Dead; no transcription errors found"
2,20141118,"SCBI_062",39,,"0249",,57,"120.7","6.8",,,"sbt",
3,20141118,"SCBI_062",39,,"0253",,57,"115.2","8.7",,,"sbt",
4,20141118,"SCBI_062",39,,"0252",,57,"97.7","10.4",,,"sbt",
5,20141118,"SCBI_062",39,,"0250",,57,"149.3","7.3",,,"sbt",
6,20141118,"SCBI_062",39,,"0251",,57,"154.7","7.4",,,"sbt","Dead"
7,20141118,"SCBI_062",39,,"0381",,57,"168","6",,,"sbt","Dead; no transcription errors found"
8,20141118,"SCBI_062",39,,"0426",,57,"175.8","7.9",,,"sbt","Dead"
9,20141118,"SCBI_062",39,,"0427",,57,"171","9",,,"sbt","Dead"
10,20141118,"SCBI_062",39,,"0428",,57,"177.7","11.3",,,"sbt",
11,20141118,"SCBI_062",39,,"0429",,57,"161.7","11.1",,,"sbt",
12,20141118,"SCBI_062",39,,"0283",,57,"155.3","13.1",,,"sbt",
13,20141118,"SCBI_062",39,,"0282",,57,"142.7","11.1",,,"sbt",
14,20141118,"SCBI_062",39,,"0431",,39,"14.2","5.4",,,"mbt",
15,20141118,"SCBI_062",39,,"0431A",,39,"14.2","5.4",,,"mbt",
16,20141118,"SCBI_062",39,,"0439",,39,"40","4.9",,,"mbt",
17,20141118,"SCBI_062",39,,"0439A",,39,"40","4.9",,,"mbt","Dead"
18,20141118,"SCBI_062",39,,"0438",,39,"17.9","3.4",,,"sbt","Dead"
19,20141118,"SCBI_062",39,,"0430",,39,"7","5.6",,,"sbt","Dead"
20,20141118,"SCBI_062",39,,"0437",,39,"70.8","3.4",,,"sbt",
21,20141118,"SCBI_062",39,,"0434",,39,"81.7","6.4",,,"sbt","no transcription errors found"
22,20141118,"SCBI_062",39,,"0433",,39,"79.8","7.7",,,"sbt",
23,20141118,"SCBI_062",39,,"0286",,39,"54.3","8",,,"sbt",
24,20141118,"SCBI_062",39,,"0432",,39,"53.4","12.5",,,"sbt",
25,20141118,"SCBI_062",39,,"0492",,39,"59.3","15.9",,,"sbt",
26,20141118,"SCBI_062",39,,"0482",,41,"298.5","6.1",,,"sbt",
27,20141118,"SCBI_062",39,,"0440",,41,"338.9","9.7",,,"sbt",
28,20141118,"SCBI_062",39,,"0441",,41,"340.3","10.1",,,"sbt",
29,20141118,"SCBI_062",39,,"0443",,41,"347.4","15.3",,,"sbt","no transcription errors found"
30,20141118,"SCBI_062",39,,"0446",,41,"328.6","14.7",,,"sbt","Dead"
31,20141118,"SCBI_062",39,,"0247",,59,"256.8","7.9",,,"sbt",
32,20141118,"SCBI_062",39,,"0444",,59,"247.4","6",,,"sbt",
33,20141118,"SCBI_062",39,,"0442",,59,"241.3","9.5",,,"sbt","Dead"
34,20141119,"SCBI_062",23,,"0497",,43,"269.2","4.1",,,"sbt",
35,20141119,"SCBI_062",23,,"0479",,43,"229.5","8.9",,,"sbt",
36,20141119,"SCBI_062",23,,"0447",,43,"208.5","7.3",,,"sbt",
37,20141119,"SCBI_062",23,,"0445",,43,"203.5","7.4",,,"sbt",
38,20141119,"SCBI_062",23,,"0472",,43,"189.7","15",,,"sbt",
39,20141119,"SCBI_062",23,,"0471",,43,"198.5","16.6",,,"sbt",
40,20141119,"SCBI_062",23,,"0476",,43,"209.3","16.5",,,"sbt","Dead"
41,20141119,"SCBI_062",23,,"0498",,43,"254.1","15.3",,,"sbt",
42,20141119,"SCBI_062",23,,"0499",,43,"268.7","15.7",,,"sbt",
43,20141119,"SCBI_062",23,,"0460",,41,"169.7","10.6",,,"sbt",
44,20141119,"SCBI_062",23,,"0458",,41,"163.5","15.6",,,"sbt","Dead; leaning"
45,20141119,"SCBI_062",23,,"0457",,41,"173.7","15.8",,,"sbt",
46,20141119,"SCBI_062",23,,"0470",,25,"287.8","12.3",,,"sbt",
47,20141119,"SCBI_062",41,,"0489",,43,"352.5","1.3",,,"sbt",
48,20141119,"SCBI_062",41,,"0604",,61,"220.7","6",,,"sbt",
49,20141119,"SCBI_062",41,,"0605",,61,"234.5","9.7",,,"sbt",
50,20141119,"SCBI_062",41,,"0603",,61,"227.9","13.9",,,"mbt","Dead"
51,20141119,"SCBI_062",41,,"0603A",,61,"227.9","13.9",,,"mbt","Dead"
52,20141119,"SCBI_062",41,,"0603B",,61,"227.9","13.9",,,"mbt","Dead"
53,20141119,"SCBI_062",41,,"0488",,61,"211","14.8",,,"sbt",
54,20141119,"SCBI_062",41,,"0602",,61,"204.8","15.6",,,"sbt",
55,20141119,"SCBI_062",41,,"0601",,41,"60.5","8.5",,,"sbt","no transcription errors found"
56,20141119,"SCBI_062",41,,"0483",,41,"26.4","2.8",,,"sbt",
57,20141119,"SCBI_062",41,,"0491",,41,"6.1","7.4",,,"sbt","no transcription errors found"
58,20141119,"SCBI_062",41,,"0490",,41,"36","11.3",,,"sbt","Dead"
59,20141119,"SCBI_062",41,,"0607",,41,"4","12.3",,,"sbt",
60,20141119,"SCBI_062",41,,"0606",,41,"1.2","13.2",,,"sbt",
61,20141119,"SCBI_062",21,,"0487",,41,"229","4.3",,,"sbt",
63,20141119,"SCBI_062",21,,"0495",,41,"258.3","10",,,"sbt",
64,20141119,"SCBI_062",21,,"0449",,41,"261.3","13",,,"sbt",
65,20141119,"SCBI_062",21,,"0448",,41,"267.6","14",,,"sbt",
66,20141119,"SCBI_062",21,,"0435",,41,"269.8","15.8",,,"sbt",
67,20141119,"SCBI_062",21,,"0450",,41,"265.4","16.3",,,"sbt","Dead"
68,20141119,"SCBI_062",21,,"0261",,41,"267.4","16.9",,,"sbt",
69,20141119,"SCBI_062",21,,"0451",,41,"266.2","19.8",,,"mbt",
70,20141119,"SCBI_062",21,,"0451A",,41,"266.2","19.8",,,"mbt",
71,20141119,"SCBI_062",21,,"0462",,41,"250.3","18.6",,,"sbt",
72,20141119,"SCBI_062",21,,"0463",,41,"247","15.3",,,"sbt","Dead; no transcription errors found"
73,20141119,"SCBI_062",21,,"0496",,41,"231.7","10.4",,,"sbt",
74,20141119,"SCBI_062",21,,"0480",,41,"210.1","7.9",,,"sbt","Dead"
75,20141119,"SCBI_062",21,,"0500",,41,"190.8","8",,,"sbt",
76,20141119,"SCBI_062",21,,"0459",,41,"192.5","11",,,"sbt",
77,20141119,"SCBI_062",21,,"0481",,41,"221.6","10.8",,,"sbt",
78,20141119,"SCBI_062",21,,"0455",,41,"199.9","14.7",,,"sbt",
79,20141119,"SCBI_062",21,,"0478",,41,"206.2","14.5",,,"sbt","no transcription errors found"
80,20141119,"SCBI_062",21,,"0453",,41,"204.8","18.3",,,"sbt",
81,20141119,"SCBI_062",21,,"0454",,41,"197.2","17.3",,,"sbt",
82,20141119,"SCBI_062",21,,"0467",,41,"214.7","18",,,"sbt",
83,20141119,"SCBI_062",21,,"0465",,41,"224.7","16.7",,,"sbt",
84,20141119,"SCBI_062",21,,"0466",,41,"223.8","16.8",,,"sbt",
85,20141119,"SCBI_062",21,,"0464",,39,"134.3","12.8",,,"sbt","Dead; north lean"
86,20141119,"SCBI_062",21,,"0469",,39,"129.6","17.6",,,"sbt",
87,20141119,"SCBI_062",21,,"0452",,21,"17.8","2.8",,,"sbt","Dead; no transcription errors found"
88,20141119,"SCBI_062",21,,"0456",,23,"321.3","4.1",,,"sbt",
89,20141119,"SCBI_062",39,3,"0608",,,,,"Lindera benzoin",,"sap",
90,20141119,"SCBI_062",39,3,"0493",,,,,"Lindera benzoin",,"sap",
91,20141119,"SCBI_062",39,3,"0609",,,,,"Lindera benzoin",,"sap","no transcription errors found"
92,20141119,"SCBI_062",39,3,"0610",,,,,"Lindera benzoin",,"sap",
93,20141119,"SCBI_062",39,3,"0611",,,,,"Lindera benzoin",,"sap",
94,20141119,"SCBI_062",39,3,"0612",,,,,"Lindera benzoin",,"sap",
95,20141119,"SCBI_062",39,3,"0613",,,,,"Lindera benzoin",,"sap",
96,20141119,"SCBI_062",39,3,"0614",,,,,"Lindera benzoin",,"sap",
97,20141119,"SCBI_062",39,3,"0615",,,,,"Lindera benzoin",,"sap",
98,20141119,"SCBI_062",39,3,"0616",,,,,"Lindera benzoin",,"sap",
99,20141119,"SCBI_062",39,3,"0617",,,,,"Lindera benzoin",,"sap",
100,20141119,"SCBI_062",39,3,"0618",,,,,"Lindera benzoin",,"sap",
101,20141119,"SCBI_062",39,3,"0619",,,,,"Lindera benzoin",,"sap","no transcription errors found"
102,20141119,"SCBI_062",39,3,"0620",,,,,"Lindera benzoin",,"sap",
103,20141119,"SCBI_062",39,3,"0621",,,,,"Lindera benzoin",,"sap",
104,20141119,"SCBI_062",39,3,"322",,,,,"Lindera benzoin",,"sap",
105,20141119,"SCBI_062",39,3,"0623",,,,,"Lindera benzoin",,"sap",
106,20141119,"SCBI_062",39,3,"0624",,,,,"Lindera benzoin",,"sap",
107,20141119,"SCBI_062",39,3,"0625",,,,,"Lindera benzoin",,"sap",
108,20141119,"SCBI_062",39,3,"0626",,,,,"Lindera benzoin",,"sap",
109,20141119,"SCBI_062",39,3,"0627",,,,,"Lindera benzoin",,"sap",
110,20141119,"SCBI_062",39,3,"0628",,,,,"Lindera benzoin",,"sap",
111,20141119,"SCBI_062",39,3,"0629",,,,,"Lindera benzoin",,"sap",
112,20141119,"SCBI_062",39,3,"0630",,,,,"Lindera benzoin",,"sap","no transcription errors found"
113,20141119,"SCBI_062",39,3,"0631",,,,,"Lindera benzoin",,"sap",
114,20141119,"SCBI_062",39,3,"0632",,,,,"Lindera benzoin",,"sap",
115,20141119,"SCBI_062",39,3,"0633",,,,,"Lindera benzoin",,"sap",
116,20141119,"SCBI_062",39,3,"0634",,,,,"Lindera benzoin",,"sap",
117,20141119,"SCBI_062",39,3,"0635",,,,,"Lindera benzoin",,"sap",
118,20141119,"SCBI_062",39,3,"0636",,,,,"Lindera benzoin",,"sap",
119,20141119,"SCBI_062",39,3,"0637",,,,,,,"smt",
120,20141119,"SCBI_062",39,3,"0638",,,,,"Cornus florida",,"smt",
121,20141119,"SCBI_062",39,1,"0639",,,,,"Lindera benzoin",,"sap",
122,20141119,"SCBI_062",39,1,"0640",,,,,"Lindera benzoin",,"sms","no transcription errors found"
123,20141119,"SCBI_062",39,1,"0641",,,,,"Lindera benzoin",,"sms",
124,20141119,"SCBI_062",39,1,"0642",,,,,"Lindera benzoin",,"sms",
125,20141119,"SCBI_062",39,1,"0643",,,,,"Lindera benzoin",,"sms",
126,20141119,"SCBI_062",39,1,"0644",,,,,"Lindera benzoin",,"sms",
127,20141119,"SCBI_062",39,1,"0645",,,,,"Lindera benzoin",,"sms",
